date,comment_count,pos_count,neg_count,neu_count,mean_conf,pos_ratio,neg_ratio,net_sentiment
2026-03-03,10721,362,1077,9282,0.9508401734912788,0.0338,0.1005,-0.0667
2026-03-04,13910,419,1445,12046,0.949918820992092,0.0301,0.1039,-0.0738
2026-03-05,5543,311,517,4715,0.951855962475194,0.0561,0.0933,-0.0372
2026-03-06,5450,199,620,4631,0.9496486972477064,0.0365,0.1138,-0.0772
2026-03-07,2260,64,219,1977,0.9592978761061947,0.0283,0.0969,-0.0686
2026-03-08,1988,82,275,1631,0.9536908953722334,0.0412,0.1383,-0.0971
2026-03-09,10078,293,1075,8710,0.9514000992260369,0.0291,0.1067,-0.0776
2026-03-10,4740,321,373,4046,0.9544353164556962,0.0677,0.0787,-0.011
2026-03-11,4079,287,403,3389,0.9543248100024516,0.0704,0.0988,-0.0284
2026-03-12,3730,173,374,3183,0.9553794638069705,0.0464,0.1003,-0.0539
2026-03-13,4246,175,393,3678,0.9516970089495996,0.0412,0.0926,-0.0513
2026-03-14,1761,80,167,1514,0.9602073253833049,0.0454,0.0948,-0.0494
2026-03-15,1916,94,196,1626,0.9543510438413361,0.0491,0.1023,-0.0532
2026-03-16,3047,227,273,2547,0.9513488349195931,0.0745,0.0896,-0.0151
2026-03-17,2553,231,240,2082,0.9494444183313748,0.0905,0.094,-0.0035
2026-03-18,4090,447,459,3184,0.9455324694376528,0.1093,0.1122,-0.0029
2026-03-19,4817,269,579,3969,0.9472969690678846,0.0558,0.1202,-0.0644
2026-03-20,3074,172,378,2524,0.9495489590110605,0.056,0.123,-0.067
2026-03-21,1867,80,173,1614,0.9637961435457955,0.0428,0.0927,-0.0498
2026-03-22,2006,67,168,1771,0.9649095712861416,0.0334,0.0837,-0.0503
2026-03-23,6949,208,633,6108,0.9545814361778674,0.0299,0.0911,-0.0612
2026-03-24,4515,159,490,3866,0.9518421926910299,0.0352,0.1085,-0.0733
2026-03-25,3465,169,425,2871,0.9446496103896104,0.0488,0.1227,-0.0739
2026-03-26,5863,268,770,4825,0.9414044687020297,0.0457,0.1313,-0.0856
2026-03-27,6618,333,678,5607,0.946360592323965,0.0503,0.1024,-0.0521
