date,comment_count,pos_count,neg_count,neu_count,mean_conf,pos_ratio,neg_ratio,net_sentiment
2026-03-03,897,39,81,777,0.9491296544035674,0.0435,0.0903,-0.0468
2026-03-04,886,65,80,741,0.9433755079006771,0.0734,0.0903,-0.0169
2026-03-05,646,60,52,534,0.9361613003095977,0.0929,0.0805,0.0124
2026-03-06,560,36,53,471,0.9396000000000001,0.0643,0.0946,-0.0304
2026-03-07,159,15,22,122,0.9423094339622642,0.0943,0.1384,-0.044
2026-03-08,130,12,22,96,0.9385646153846154,0.0923,0.1692,-0.0769
2026-03-09,448,21,45,382,0.9431441964285714,0.0469,0.1004,-0.0536
2026-03-10,512,39,56,417,0.947202734375,0.0762,0.1094,-0.0332
2026-03-11,342,17,25,300,0.9549245614035088,0.0497,0.0731,-0.0234
2026-03-12,286,16,24,246,0.951736013986014,0.0559,0.0839,-0.028
2026-03-13,229,13,25,191,0.9460427947598253,0.0568,0.1092,-0.0524
2026-03-14,52,5,6,41,0.9087134615384616,0.0962,0.1154,-0.0192
2026-03-15,56,7,5,44,0.9253892857142858,0.125,0.0893,0.0357
2026-03-16,441,31,43,367,0.941620634920635,0.0703,0.0975,-0.0272
2026-03-17,315,21,23,271,0.9432339682539682,0.0667,0.073,-0.0063
2026-03-18,478,35,33,410,0.9447430962343096,0.0732,0.069,0.0042
2026-03-19,331,26,28,277,0.9321673716012084,0.0785,0.0846,-0.006
2026-03-20,226,25,17,184,0.9464035398230088,0.1106,0.0752,0.0354
2026-03-21,70,3,9,58,0.96379,0.0429,0.1286,-0.0857
2026-03-22,42,5,1,36,0.9619166666666666,0.119,0.0238,0.0952
2026-03-23,276,16,20,240,0.9536402173913043,0.058,0.0725,-0.0145
2026-03-24,307,14,21,272,0.9446817589576546,0.0456,0.0684,-0.0228
2026-03-25,264,20,23,221,0.9380287878787879,0.0758,0.0871,-0.0114
2026-03-26,292,12,27,253,0.9424530821917808,0.0411,0.0925,-0.0514
2026-03-27,291,18,33,240,0.9352656357388317,0.0619,0.1134,-0.0515
2026-03-28,58,1,9,48,0.9267034482758622,0.0172,0.1552,-0.1379
2026-03-29,34,1,2,31,0.9627735294117646,0.0294,0.0588,-0.0294
2026-03-30,206,20,28,158,0.9502718446601942,0.0971,0.1359,-0.0388
2026-03-31,291,19,31,241,0.9412336769759451,0.0653,0.1065,-0.0412
2026-04-01,195,15,11,169,0.9448292307692309,0.0769,0.0564,0.0205
2026-04-02,167,3,10,154,0.9614748502994013,0.018,0.0599,-0.0419
2026-04-03,165,6,18,141,0.9561478787878788,0.0364,0.1091,-0.0727
2026-04-04,28,0,4,24,0.9737178571428571,0.0,0.1429,-0.1429
2026-04-05,33,2,5,26,0.9314515151515151,0.0606,0.1515,-0.0909
2026-04-06,272,10,43,219,0.9407716911764706,0.0368,0.1581,-0.1213
2026-04-07,179,15,15,149,0.9441826815642458,0.0838,0.0838,0.0
2026-04-08,354,33,21,300,0.9496957627118644,0.0932,0.0593,0.0339
2026-04-09,206,28,21,157,0.9379791262135923,0.1359,0.1019,0.034
2026-04-10,237,12,22,203,0.9530291139240507,0.0506,0.0928,-0.0422
2026-04-11,64,5,5,54,0.9467046875,0.0781,0.0781,0.0
2026-04-12,50,1,4,45,0.937118,0.02,0.08,-0.06
2026-04-13,185,10,27,148,0.9323097297297298,0.0541,0.1459,-0.0919
2026-04-14,244,29,23,192,0.9251225409836066,0.1189,0.0943,0.0246
2026-04-15,264,14,12,238,0.9473969696969696,0.053,0.0455,0.0076
2026-04-16,208,14,25,169,0.9461057692307692,0.0673,0.1202,-0.0529
2026-04-17,195,8,26,161,0.9430379487179488,0.041,0.1333,-0.0923
2026-04-18,60,5,9,46,0.9553200000000001,0.0833,0.15,-0.0667
2026-04-19,45,6,4,35,0.9410844444444444,0.1333,0.0889,0.0444
2026-04-20,183,15,21,147,0.9436928961748633,0.082,0.1148,-0.0328
2026-04-21,237,6,25,206,0.9407282700421941,0.0253,0.1055,-0.0802
2026-04-22,139,5,14,120,0.9538532374100719,0.036,0.1007,-0.0647
2026-04-23,302,12,30,260,0.9549960264900662,0.0397,0.0993,-0.0596
2026-04-24,199,14,20,165,0.9416391959798995,0.0704,0.1005,-0.0302
2026-04-25,53,13,3,37,0.9383396226415094,0.2453,0.0566,0.1887
2026-04-26,34,5,2,27,0.9696852941176469,0.1471,0.0588,0.0882
2026-04-27,1112,107,77,928,0.9523465827338129,0.0962,0.0692,0.027
2026-04-28,552,29,48,475,0.9398534420289855,0.0525,0.087,-0.0344
2026-04-29,326,20,30,276,0.9508610429447854,0.0613,0.092,-0.0307
2026-04-30,536,35,38,463,0.9564675373134328,0.0653,0.0709,-0.0056
2026-05-01,44,3,4,37,0.9729863636363636,0.0682,0.0909,-0.0227
2026-05-02,58,5,9,44,0.9221775862068966,0.0862,0.1552,-0.069
2026-05-03,38,3,0,35,0.9713473684210526,0.0789,0.0,0.0789
2026-05-04,331,29,22,280,0.9398271903323263,0.0876,0.0665,0.0211
2026-05-05,82,10,11,61,0.9402268292682927,0.122,0.1341,-0.0122
2026-05-06,635,36,59,540,0.9474598425196852,0.0567,0.0929,-0.0362
2026-05-07,411,27,30,354,0.9481374695863747,0.0657,0.073,-0.0073
2026-05-08,282,12,31,239,0.9388808510638299,0.0426,0.1099,-0.0674
2026-05-09,87,8,6,73,0.9608666666666666,0.092,0.069,0.023
2026-05-10,79,3,8,68,0.9169012658227848,0.038,0.1013,-0.0633
2026-05-11,517,38,58,421,0.9340468085106383,0.0735,0.1122,-0.0387
2026-05-12,546,26,55,465,0.9408642857142857,0.0476,0.1007,-0.0531
2026-05-13,419,21,33,365,0.9521980906921241,0.0501,0.0788,-0.0286
2026-05-14,370,26,42,302,0.9364372972972973,0.0703,0.1135,-0.0432
2026-05-15,1790,129,402,1259,0.91259,0.0721,0.2246,-0.1525
2026-05-16,584,65,136,383,0.9121017123287672,0.1113,0.2329,-0.1216
2026-05-17,555,43,115,397,0.9253000000000001,0.0775,0.2072,-0.1297
2026-05-18,1550,121,294,1135,0.9224354838709679,0.0781,0.1897,-0.1116
2026-05-19,1503,117,234,1152,0.9237737857618097,0.0778,0.1557,-0.0778
2026-05-20,563,56,90,417,0.9341880994671403,0.0995,0.1599,-0.0604
2026-05-21,468,45,61,362,0.930555982905983,0.0962,0.1303,-0.0342
2026-05-22,311,37,36,238,0.9176945337620579,0.119,0.1158,0.0032
2026-05-23,71,11,8,52,0.9314295774647887,0.1549,0.1127,0.0423
2026-05-24,72,6,7,59,0.9234444444444444,0.0833,0.0972,-0.0139
2026-05-25,68,9,9,50,0.9188308823529412,0.1324,0.1324,0.0
2026-05-26,258,19,27,212,0.9349937984496124,0.0736,0.1047,-0.031
2026-05-27,530,36,76,418,0.930866037735849,0.0679,0.1434,-0.0755
2026-05-28,586,25,86,475,0.9379930034129693,0.0427,0.1468,-0.1041
2026-05-29,536,37,80,419,0.930568843283582,0.069,0.1493,-0.0802
2026-05-30,94,12,14,68,0.9376446808510638,0.1277,0.1489,-0.0213
2026-05-31,89,13,10,66,0.9334449438202247,0.1461,0.1124,0.0337
2026-06-01,273,26,27,220,0.9419076923076923,0.0952,0.0989,-0.0037
2026-06-02,454,38,46,370,0.9332235682819383,0.0837,0.1013,-0.0176
2026-06-03,176,18,24,134,0.9326119318181818,0.1023,0.1364,-0.0341
