Source_Document,Topic_Label,Unstructured_Text_Content
이오테크닉스_2020_실제데이터,재무실적_전사,"2020년 연결기준 매출액은 약 3,252억원, 영업이익은 약 385억원을 기록하며 전년(2019년)의 부진을 딛고 실적이 크게 회복되었습니다."
이오테크닉스_2020_실제데이터,주요사업_반도체,"주력인 반도체 레이저 마커(Laser Marker) 장비가 글로벌 점유율 1위를 굳건히 유지하는 가운데, 미세공정(1z nm) 전환에 따른 반도체 전공정 레이저 어닐링(Laser Annealing) 장비의 수주 사이클이 본격화되었습니다."
이오테크닉스_2020_실제데이터,성장동력_R&D,"기존 후공정 위주에서 전공정 장비로 포트폴리오를 다변화하며, 반도체 수율 향상에 필수적인 레이저 소스 국산화 및 스텔스 다이싱(Stealth Dicing) 장비 연구개발을 지속했습니다."
이오테크닉스_2021_실제데이터,재무실적_전사,"2021년 연결기준 매출액은 약 3,904억원, 영업이익은 약 783억원으로 전년 대비 영업이익이 100% 이상 급증하며 본격적인 최대 실적 사이클에 진입했습니다."
이오테크닉스_2021_실제데이터,주요사업_반도체,"글로벌 OSAT(반도체 후공정 외주) 업체들의 대규모 증설로 레이저 마커 수요가 호조를 보였으며, PCB용 UV Laser Drill 장비의 업사이클이 시작되어 실적 성장을 강하게 견인했습니다."
이오테크닉스_2021_실제데이터,성장동력_R&D,주요 경쟁사의 특허 만료 시기에 맞추어 반도체 웨이퍼 내부에 레이저를 조사해 절단하는 스텔스 다이싱(Stealth Dicing) 장비의 양산 준비를 마치고 본격적인 국산화 수혜를 확보하기 시작했습니다.
이오테크닉스_2022_실제데이터,재무실적_전사,"2022년 연결기준 매출액은 4,472억원, 영업이익은 928억원으로 역대 최대 매출과 최대 이익을 동시에 경신하는 눈부신 성과를 거두었습니다."
이오테크닉스_2022_실제데이터,주요사업_반도체,"반도체 첨단 후공정(Advanced Package)에 대한 강력한 수요를 바탕으로, 고부가가치 장비인 레이저 어닐링과 커팅(Cutting) 장비의 매출이 급증하며 전체 영업이익률을 크게 끌어올렸습니다."
이오테크닉스_2022_실제데이터,성장동력_R&D,"HBM 등 고대역폭 메모리와 첨단 패키징 수요 증가에 선제적으로 대응하여, 수입에 의존하던 레이저 소스의 자체 개발 및 탑재율을 높여 원가 경쟁력을 제고하고 이익 레버리지를 극대화했습니다."
이오테크닉스_2023_실제데이터,재무실적_전사,"2023년 글로벌 반도체 업황 둔화 및 고객사들의 대규모 설비 투자 축소(Capex Cut) 여파로 연결기준 매출액 3,163억원, 영업이익 309억원을 기록하여 실적이 일시적으로 하락했습니다."
이오테크닉스_2023_실제데이터,주요사업_반도체,혹독한 반도체 다운사이클 속에서도 칩렛(Chiplet) 구조 도입과 어드밴스드 패키징 수요 지속 덕분에 레이저 그루빙(Grooving) 및 스텔스 다이싱 장비에 대한 노출도가 점진적으로 확대되며 방어에 성공했습니다.
이오테크닉스_2023_실제데이터,성장동력_R&D,단기적인 업황 부진에도 불구하고 차세대 HBM 제조에 필수적인 레이저 커팅 및 어닐링 기술 고도화를 위한 R&D 투자를 꾸준히 이어가며 다가올 반도체 상승장에 대비했습니다.
이오테크닉스_2024_실제데이터,재무실적_전사,"2024년 반도체 시장의 점진적 회복세에 힘입어 연결기준 매출액 3,209억원, 영업이익 312억원을 기록하며 전년 대비 소폭 상승하는 턴어라운드를 보여주었습니다."
이오테크닉스_2024_실제데이터,주요사업_반도체,주요 고객사의 1c nm 기반 초미세 DRAM 및 차세대 HBM4 램프업(생산량 확대)을 위한 선제적 투자가 당사의 고수익성 레이저 어닐링 및 커팅 장비에 대한 강한 수요로 이어지고 있습니다.
이오테크닉스_2024_실제데이터,성장동력_R&D,"기존 주력 장비인 레이저 마커를 넘어 디본더(Debonder), 마이크로 LED 장비, 레이저 매크로(Macro) 장비 등으로 반도체 공정 아이템을 성공적으로 다변화하여 중장기적 실적 퀀텀점프의 발판을 마련했습니다."
