rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,종목명,종목코드,조회연도
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,유동자산,제 68 기,2020.12.31 현재,"459,208,127,449",제 67 기,2019.12.31 현재,"426,263,421,167",제 66 기,2018.12.31 현재,"383,378,936,944",1,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,비유동자산,제 68 기,2020.12.31 현재,"719,373,069,732",제 67 기,2019.12.31 현재,"662,626,388,404",제 66 기,2018.12.31 현재,"683,154,902,809",3,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,자산총계,제 68 기,2020.12.31 현재,"1,178,581,197,181",제 67 기,2019.12.31 현재,"1,088,889,809,571",제 66 기,2018.12.31 현재,"1,066,533,839,753",5,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,유동부채,제 68 기,2020.12.31 현재,"261,704,001,422",제 67 기,2019.12.31 현재,"219,715,556,191",제 66 기,2018.12.31 현재,"156,796,450,097",7,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,비유동부채,제 68 기,2020.12.31 현재,"122,292,683,182",제 67 기,2019.12.31 현재,"224,523,523,615",제 66 기,2018.12.31 현재,"351,345,858,412",9,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,부채총계,제 68 기,2020.12.31 현재,"383,996,684,604",제 67 기,2019.12.31 현재,"444,239,079,806",제 66 기,2018.12.31 현재,"508,142,308,509",11,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,자본금,제 68 기,2020.12.31 현재,"222,555,835,000",제 67 기,2019.12.31 현재,"222,555,835,000",제 66 기,2018.12.31 현재,"222,555,835,000",13,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 68 기,2020.12.31 현재,"525,382,012,788",제 67 기,2019.12.31 현재,"375,643,537,563",제 66 기,2018.12.31 현재,"286,926,663,501",17,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,BS,재무상태표,자본총계,제 68 기,2020.12.31 현재,"794,584,512,577",제 67 기,2019.12.31 현재,"644,650,729,765",제 66 기,2018.12.31 현재,"558,391,531,244",21,KRW,DB하이텍,000990,2020
20210319001013,11011,2020,00160843,000990,CFS,연결재무제표,IS,손익계산서,매출액,제 68 기,2020.01.01 ~ 2020.12.31,"935,919,766,484",제 67 기,2019.01.01 ~ 2019.12.31,"807,416,422,918",제 66 기,2018.01.01 ~ 2018.12.31,"669,279,136,472",23,KRW,DB하이텍,000990,2020
