rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,종목명,종목코드,조회연도
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,유동자산,제 20 기,2020.12.31 현재,"78,255,891,238",제 19 기,2019.12.31 현재,"65,385,111,991",제 18 기,2018.12.31 현재,"82,885,995,386",1,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,비유동자산,제 20 기,2020.12.31 현재,"159,409,857,898",제 19 기,2019.12.31 현재,"142,961,265,416",제 18 기,2018.12.31 현재,"133,893,741,976",3,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,자산총계,제 20 기,2020.12.31 현재,"239,465,749,136",제 19 기,2019.12.31 현재,"208,455,083,136",제 18 기,2018.12.31 현재,"216,779,737,362",5,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,유동부채,제 20 기,2020.12.31 현재,"59,235,251,084",제 19 기,2019.12.31 현재,"25,004,144,032",제 18 기,2018.12.31 현재,"26,164,138,254",7,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,비유동부채,제 20 기,2020.12.31 현재,"7,508,632,917",제 19 기,2019.12.31 현재,"5,033,296,805",제 18 기,2018.12.31 현재,"12,552,480,638",9,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,부채총계,제 20 기,2020.12.31 현재,"66,743,884,001",제 19 기,2019.12.31 현재,"30,037,440,837",제 18 기,2018.12.31 현재,"38,716,618,892",11,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,자본금,제 20 기,2020.12.31 현재,"7,071,254,000",제 19 기,2019.12.31 현재,"7,071,254,000",제 18 기,2018.12.31 현재,"6,934,927,000",13,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 20 기,2020.12.31 현재,"102,009,545,440",제 19 기,2019.12.31 현재,"96,302,342,705",제 18 기,2018.12.31 현재,"93,514,833,062",17,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,BS,재무상태표,자본총계,제 20 기,2020.12.31 현재,"172,721,865,135",제 19 기,2019.12.31 현재,"178,417,642,299",제 18 기,2018.12.31 현재,"178,063,118,470",21,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,IS,손익계산서,매출액,제 20 기,2020.01.01 ~ 2020.12.31,"121,769,458,607",제 19 기,2019.01.01 ~ 2019.12.31,"87,678,824,284",제 18 기,2018.01.01 ~ 2018.12.31,"101,865,962,869",23,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,IS,손익계산서,영업이익,제 20 기,2020.01.01 ~ 2020.12.31,"18,078,107,189",제 19 기,2019.01.01 ~ 2019.12.31,"2,025,737,210",제 18 기,2018.01.01 ~ 2018.12.31,"12,265,021,273",25,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2020.01.01 ~ 2020.12.31,"10,127,606,339",제 19 기,2019.01.01 ~ 2019.12.31,"3,147,458,026",제 18 기,2018.01.01 ~ 2018.12.31,"15,975,562,476",27,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2020.01.01 ~ 2020.12.31,"5,505,283,414",제 19 기,2019.01.01 ~ 2019.12.31,"3,181,414,647",제 18 기,2018.01.01 ~ 2018.12.31,"12,151,612,470",29,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2020.01.01 ~ 2020.12.31,"5,505,283,414",제 19 기,2019.01.01 ~ 2019.12.31,"3,181,414,647",제 18 기,2018.01.01 ~ 2018.12.31,"12,151,612,470",61,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,유동자산,제 20 기,2020.12.31 현재,"91,182,000,712",제 19 기,2019.12.31 현재,"63,433,750,517",제 18 기,2018.12.31 현재,"68,533,901,250",2,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,비유동자산,제 20 기,2020.12.31 현재,"171,487,084,834",제 19 기,2019.12.31 현재,"133,235,034,440",제 18 기,2018.12.31 현재,"132,072,621,125",4,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,자산총계,제 20 기,2020.12.31 현재,"264,469,085,546",제 19 기,2019.12.31 현재,"196,776,621,041",제 18 기,2018.12.31 현재,"200,606,522,375",6,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,유동부채,제 20 기,2020.12.31 현재,"52,273,378,149",제 19 기,2019.12.31 현재,"14,025,822,807",제 18 기,2018.12.31 현재,"15,388,826,349",8,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,비유동부채,제 20 기,2020.12.31 현재,"4,504,240,337",제 19 기,2019.12.31 현재,"1,865,051,723",제 18 기,2018.12.31 현재,"3,618,667,340",10,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,부채총계,제 20 기,2020.12.31 현재,"56,777,618,486",제 19 기,2019.12.31 현재,"15,890,874,530",제 18 기,2018.12.31 현재,"19,007,493,689",12,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,자본금,제 20 기,2020.12.31 현재,"7,071,254,000",제 19 기,2019.12.31 현재,"7,071,254,000",제 18 기,2018.12.31 현재,"6,934,927,000",15,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,이익잉여금,제 20 기,2020.12.31 현재,"132,257,802,238",제 19 기,2019.12.31 현재,"106,545,312,903",제 18 기,2018.12.31 현재,"106,726,883,242",19,KRW,ISC,095340,2020
20210318001205,11011,2020,00572905,095340,OFS,재무제표,BS,재무상태표,자본총계,제 20 기,2020.12.31 현재,"207,691,467,060",제 19 기,2019.12.31 현재,"180,885,746,511",제 18 기,2018.12.31 현재,"181,599,028,686",22,KRW,ISC,095340,2020
