rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,종목명,종목코드,조회연도
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,유동자산,제 25 기,2020.12.31 현재,"257,710,373,589",제 24 기,2019.12.31 현재,"225,546,548,484",제 23 기,2018.12.31 현재,"197,338,474,765",2,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,비유동자산,제 25 기,2020.12.31 현재,"103,822,940,951",제 24 기,2019.12.31 현재,"100,169,355,750",제 23 기,2018.12.31 현재,"85,283,445,142",4,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,자산총계,제 25 기,2020.12.31 현재,"361,533,314,540",제 24 기,2019.12.31 현재,"325,715,904,234",제 23 기,2018.12.31 현재,"282,621,919,907",6,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,유동부채,제 25 기,2020.12.31 현재,"21,920,276,366",제 24 기,2019.12.31 현재,"23,006,487,683",제 23 기,2018.12.31 현재,"18,770,941,105",8,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,비유동부채,제 25 기,2020.12.31 현재,"2,271,855,662",제 24 기,2019.12.31 현재,"2,531,250,184",제 23 기,2018.12.31 현재,"1,007,207,525",10,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,부채총계,제 25 기,2020.12.31 현재,"24,192,132,028",제 24 기,2019.12.31 현재,"25,537,737,867",제 23 기,2018.12.31 현재,"19,778,148,630",12,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,자본금,제 25 기,2020.12.31 현재,"7,621,185,000",제 24 기,2019.12.31 현재,"7,621,185,000",제 23 기,2018.12.31 현재,"7,621,185,000",15,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,이익잉여금,제 25 기,2020.12.31 현재,"326,471,703,418",제 24 기,2019.12.31 현재,"289,308,687,273",제 23 기,2018.12.31 현재,"253,903,085,021",19,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,BS,재무상태표,자본총계,제 25 기,2020.12.31 현재,"337,341,182,512",제 24 기,2019.12.31 현재,"300,178,166,367",제 23 기,2018.12.31 현재,"262,843,771,277",22,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,IS,손익계산서,매출액,제 25 기,2020.01.01 ~ 2020.12.31,"201,335,459,350",제 24 기,2019.01.01 ~ 2019.12.31,"170,307,404,665",제 23 기,2018.01.01 ~ 2018.12.31,"150,354,373,050",24,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,IS,손익계산서,영업이익,제 25 기,2020.01.01 ~ 2020.12.31,"77,881,753,690",제 24 기,2019.01.01 ~ 2019.12.31,"64,141,629,662",제 23 기,2018.01.01 ~ 2018.12.31,"51,196,135,416",26,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2020.01.01 ~ 2020.12.31,"73,552,367,557",제 24 기,2019.01.01 ~ 2019.12.31,"70,954,645,038",제 23 기,2018.01.01 ~ 2018.12.31,"63,125,496,786",28,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2020.01.01 ~ 2020.12.31,"55,378,772,170",제 24 기,2019.01.01 ~ 2019.12.31,"52,790,182,377",제 23 기,2018.01.01 ~ 2018.12.31,"48,642,069,951",30,KRW,리노공업,058470,2020
20210317000361,11011,2020,00369657,058470,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2020.01.01 ~ 2020.12.31,"55,378,772,170",제 24 기,2019.01.01 ~ 2019.12.31,"52,790,182,377",제 23 기,2018.01.01 ~ 2018.12.31,"48,642,069,951",62,KRW,리노공업,058470,2020
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,유동자산,제 26 기,2021.12.31 현재,"335,723,022,270",제 25 기,2020.12.31 현재,"257,710,373,589",제 24 기,2019.12.31 현재,"225,546,548,484",2,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,비유동자산,제 26 기,2021.12.31 현재,"130,648,011,966",제 25 기,2020.12.31 현재,"103,822,940,951",제 24 기,2019.12.31 현재,"100,169,355,750",4,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,자산총계,제 26 기,2021.12.31 현재,"466,371,034,236",제 25 기,2020.12.31 현재,"361,533,314,540",제 24 기,2019.12.31 현재,"325,715,904,234",6,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,유동부채,제 26 기,2021.12.31 현재,"45,990,326,198",제 25 기,2020.12.31 현재,"21,920,276,366",제 24 기,2019.12.31 현재,"23,006,487,683",8,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,비유동부채,제 26 기,2021.12.31 현재,"2,677,520,935",제 25 기,2020.12.31 현재,"2,271,855,662",제 24 기,2019.12.31 현재,"2,531,250,184",10,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,부채총계,제 26 기,2021.12.31 현재,"48,667,847,133",제 25 기,2020.12.31 현재,"24,192,132,028",제 24 기,2019.12.31 현재,"25,537,737,867",12,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,자본금,제 26 기,2021.12.31 현재,"7,621,185,000",제 25 기,2020.12.31 현재,"7,621,185,000",제 24 기,2019.12.31 현재,"7,621,185,000",15,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,이익잉여금,제 26 기,2021.12.31 현재,"406,833,708,009",제 25 기,2020.12.31 현재,"326,471,703,418",제 24 기,2019.12.31 현재,"289,308,687,273",19,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,BS,재무상태표,자본총계,제 26 기,2021.12.31 현재,"417,703,187,103",제 25 기,2020.12.31 현재,"337,341,182,512",제 24 기,2019.12.31 현재,"300,178,166,367",22,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,IS,손익계산서,매출액,제 26 기,2021.01.01 ~ 2021.12.31,"280,166,833,067",제 25 기,2020.01.01 ~ 2020.12.31,"201,335,459,350",제 24 기,2019.01.01 ~ 2019.12.31,"170,307,404,665",24,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,IS,손익계산서,영업이익,제 26 기,2021.01.01 ~ 2021.12.31,"117,104,353,242",제 25 기,2020.01.01 ~ 2020.12.31,"77,881,753,690",제 24 기,2019.01.01 ~ 2019.12.31,"64,141,629,662",26,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2021.01.01 ~ 2021.12.31,"138,893,100,157",제 25 기,2020.01.01 ~ 2020.12.31,"73,552,367,557",제 24 기,2019.01.01 ~ 2019.12.31,"70,954,645,038",28,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2021.01.01 ~ 2021.12.31,"103,805,815,149",제 25 기,2020.01.01 ~ 2020.12.31,"55,378,772,170",제 24 기,2019.01.01 ~ 2019.12.31,"52,790,182,377",30,KRW,리노공업,058470,2021
20220321000094,11011,2021,00369657,058470,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2021.01.01 ~ 2021.12.31,"103,805,815,149",제 25 기,2020.01.01 ~ 2020.12.31,"55,378,772,170",제 24 기,2019.01.01 ~ 2019.12.31,"52,790,182,377",62,KRW,리노공업,058470,2021
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,유동자산,제 27 기,2022.12.31 현재,"377,024,805,599",제 26 기,2021.12.31 현재,"335,723,022,270",제 25 기,2020.12.31 현재,"257,710,373,589",2,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,비유동자산,제 27 기,2022.12.31 현재,"154,463,323,833",제 26 기,2021.12.31 현재,"130,648,011,966",제 25 기,2020.12.31 현재,"103,822,940,951",4,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,자산총계,제 27 기,2022.12.31 현재,"531,488,129,432",제 26 기,2021.12.31 현재,"466,371,034,236",제 25 기,2020.12.31 현재,"361,533,314,540",6,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,유동부채,제 27 기,2022.12.31 현재,"36,383,168,010",제 26 기,2021.12.31 현재,"45,990,326,198",제 25 기,2020.12.31 현재,"21,920,276,366",8,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,비유동부채,제 27 기,2022.12.31 현재,"1,921,378,596",제 26 기,2021.12.31 현재,"2,677,520,935",제 25 기,2020.12.31 현재,"2,271,855,662",10,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,부채총계,제 27 기,2022.12.31 현재,"38,304,546,606",제 26 기,2021.12.31 현재,"48,667,847,133",제 25 기,2020.12.31 현재,"24,192,132,028",12,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,자본금,제 27 기,2022.12.31 현재,"7,621,185,000",제 26 기,2021.12.31 현재,"7,621,185,000",제 25 기,2020.12.31 현재,"7,621,185,000",15,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,이익잉여금,제 27 기,2022.12.31 현재,"482,314,103,732",제 26 기,2021.12.31 현재,"406,833,708,009",제 25 기,2020.12.31 현재,"326,471,703,418",19,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,BS,재무상태표,자본총계,제 27 기,2022.12.31 현재,"493,183,582,826",제 26 기,2021.12.31 현재,"417,703,187,103",제 25 기,2020.12.31 현재,"337,341,182,512",22,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,IS,손익계산서,매출액,제 27 기,2022.01.01 ~ 2022.12.31,"322,422,803,089",제 26 기,2021.01.01 ~ 2021.12.31,"280,166,833,067",제 25 기,2020.01.01 ~ 2020.12.31,"201,335,459,350",24,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,IS,손익계산서,영업이익,제 27 기,2022.01.01 ~ 2022.12.31,"136,634,729,982",제 26 기,2021.01.01 ~ 2021.12.31,"117,104,353,242",제 25 기,2020.01.01 ~ 2020.12.31,"77,881,753,690",26,KRW,리노공업,058470,2022
20230814000718,11011,2022,00369657,058470,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2022.01.01 ~ 2022.12.31,"154,075,514,572",제 26 기,2021.01.01 ~ 2021.12.31,"138,893,100,157",제 25 기,2020.01.01 ~ 2020.12.31,"73,552,367,557",28,KRW,리노공업,058470,2022
