rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,종목명,종목코드,조회연도
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,유동자산,제 52 기,2020.12.31 현재,"198,215,579,000,000",제 51 기,2019.12.31 현재,"181,385,260,000,000",제 50 기,2018.12.31 현재,"174,697,424,000,000",1,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,비유동자산,제 52 기,2020.12.31 현재,"180,020,139,000,000",제 51 기,2019.12.31 현재,"171,179,237,000,000",제 50 기,2018.12.31 현재,"164,659,820,000,000",3,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,자산총계,제 52 기,2020.12.31 현재,"378,235,718,000,000",제 51 기,2019.12.31 현재,"352,564,497,000,000",제 50 기,2018.12.31 현재,"339,357,244,000,000",5,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,유동부채,제 52 기,2020.12.31 현재,"75,604,351,000,000",제 51 기,2019.12.31 현재,"63,782,764,000,000",제 50 기,2018.12.31 현재,"69,081,510,000,000",7,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,비유동부채,제 52 기,2020.12.31 현재,"26,683,351,000,000",제 51 기,2019.12.31 현재,"25,901,312,000,000",제 50 기,2018.12.31 현재,"22,522,557,000,000",9,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,부채총계,제 52 기,2020.12.31 현재,"102,287,702,000,000",제 51 기,2019.12.31 현재,"89,684,076,000,000",제 50 기,2018.12.31 현재,"91,604,067,000,000",11,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,자본금,제 52 기,2020.12.31 현재,"897,514,000,000",제 51 기,2019.12.31 현재,"897,514,000,000",제 50 기,2018.12.31 현재,"897,514,000,000",13,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 52 기,2020.12.31 현재,"271,068,211,000,000",제 51 기,2019.12.31 현재,"254,582,894,000,000",제 50 기,2018.12.31 현재,"242,698,956,000,000",17,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,BS,재무상태표,자본총계,제 52 기,2020.12.31 현재,"275,948,016,000,000",제 51 기,2019.12.31 현재,"262,880,421,000,000",제 50 기,2018.12.31 현재,"247,753,177,000,000",21,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,IS,손익계산서,매출액,제 52 기,2020.01.01 ~ 2020.12.31,"236,806,988,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"230,400,881,000,000",제 50 기,2018.01.01 ~ 2018.12.31,"243,771,415,000,000",23,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,IS,손익계산서,영업이익,제 52 기,2020.01.01 ~ 2020.12.31,"35,993,876,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"27,768,509,000,000",제 50 기,2018.01.01 ~ 2018.12.31,"58,886,669,000,000",25,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 52 기,2020.01.01 ~ 2020.12.31,"36,345,117,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"30,432,189,000,000",제 50 기,2018.01.01 ~ 2018.12.31,"61,159,958,000,000",27,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2020.01.01 ~ 2020.12.31,"26,407,832,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"21,738,865,000,000",제 50 기,2018.01.01 ~ 2018.12.31,"44,344,857,000,000",29,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2020.01.01 ~ 2020.12.31,"26,407,832,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"21,738,865,000,000",제 50 기,2018.01.01 ~ 2018.12.31,"44,344,857,000,000",61,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,유동자산,제 52 기,2020.12.31 현재,"73,798,549,000,000",제 51 기,2019.12.31 현재,"72,659,080,000,000",제 50 기,2018.12.31 현재,"80,039,455,000,000",2,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,비유동자산,제 52 기,2020.12.31 현재,"155,865,878,000,000",제 51 기,2019.12.31 현재,"143,521,840,000,000",제 50 기,2018.12.31 현재,"138,981,902,000,000",4,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,자산총계,제 52 기,2020.12.31 현재,"229,664,427,000,000",제 51 기,2019.12.31 현재,"216,180,920,000,000",제 50 기,2018.12.31 현재,"219,021,357,000,000",6,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,유동부채,제 52 기,2020.12.31 현재,"44,412,904,000,000",제 51 기,2019.12.31 현재,"36,237,164,000,000",제 50 기,2018.12.31 현재,"43,145,053,000,000",8,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,비유동부채,제 52 기,2020.12.31 현재,"1,934,799,000,000",제 51 기,2019.12.31 현재,"2,073,509,000,000",제 50 기,2018.12.31 현재,"2,888,179,000,000",10,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,부채총계,제 52 기,2020.12.31 현재,"46,347,703,000,000",제 51 기,2019.12.31 현재,"38,310,673,000,000",제 50 기,2018.12.31 현재,"46,033,232,000,000",12,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,자본금,제 52 기,2020.12.31 현재,"897,514,000,000",제 51 기,2019.12.31 현재,"897,514,000,000",제 50 기,2018.12.31 현재,"897,514,000,000",15,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,이익잉여금,제 52 기,2020.12.31 현재,"178,284,102,000,000",제 51 기,2019.12.31 현재,"172,288,326,000,000",제 50 기,2018.12.31 현재,"166,555,532,000,000",19,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,BS,재무상태표,자본총계,제 52 기,2020.12.31 현재,"183,316,724,000,000",제 51 기,2019.12.31 현재,"177,870,247,000,000",제 50 기,2018.12.31 현재,"172,988,125,000,000",22,KRW,삼성전자,005930,2020
20210309000744,11011,2020,00126380,005930,OFS,재무제표,IS,손익계산서,매출액,제 52 기,2020.01.01 ~ 2020.12.31,"166,311,191,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"154,772,859,000,000",제 50 기,2018.01.01 ~ 2018.12.31,"170,381,870,000,000",24,KRW,삼성전자,005930,2020
