rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,종목명,종목코드,조회연도
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,유동자산,제 5 기,2020.12.31 현재,"656,887,279,237",제 4 기,2019.12.31 현재,"552,974,783,891",제 3 기,2018.12.31 현재,"331,715,602,680",1,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,비유동자산,제 5 기,2020.12.31 현재,"442,754,183,744",제 4 기,2019.12.31 현재,"346,186,882,365",제 3 기,2018.12.31 현재,"180,630,413,482",3,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,자산총계,제 5 기,2020.12.31 현재,"1,099,641,462,981",제 4 기,2019.12.31 현재,"899,161,666,256",제 3 기,2018.12.31 현재,"512,346,016,162",5,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,유동부채,제 5 기,2020.12.31 현재,"429,851,413,083",제 4 기,2019.12.31 현재,"327,047,469,524",제 3 기,2018.12.31 현재,"123,966,746,925",7,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,비유동부채,제 5 기,2020.12.31 현재,"6,762,204,150",제 4 기,2019.12.31 현재,"5,560,060,732",제 3 기,2018.12.31 현재,"19,162,792,088",9,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,부채총계,제 5 기,2020.12.31 현재,"436,613,617,233",제 4 기,2019.12.31 현재,"332,607,530,256",제 3 기,2018.12.31 현재,"143,129,539,013",11,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,자본금,제 5 기,2020.12.31 현재,"24,541,950,500",제 4 기,2019.12.31 현재,"24,541,950,500",제 3 기,2018.12.31 현재,"20,636,718,000",13,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 5 기,2020.12.31 현재,"303,920,698,035",제 4 기,2019.12.31 현재,"207,517,597,816",제 3 기,2018.12.31 현재,"173,678,038,574",17,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,BS,재무상태표,자본총계,제 5 기,2020.12.31 현재,"663,027,845,748",제 4 기,2019.12.31 현재,"566,554,136,000",제 3 기,2018.12.31 현재,"369,216,477,149",21,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,IS,손익계산서,매출액,제 5 기,2020.01.01 ~ 2020.12.31,"1,090,924,689,101",제 4 기,2019.01.01 ~ 2019.12.31,"669,241,556,900",제 3 기,2018.01.01 ~ 2018.12.31,"649,312,684,893",23,KRW,원익IPS,240810,2020
20210317000704,11011,2020,01135941,240810,CFS,연결재무제표,IS,손익계산서,영업이익,제 5 기,2020.01.01 ~ 2020.12.31,"140,597,242,597",제 4 기,2019.01.01 ~ 2019.12.31,"41,116,029,608",제 3 기,2018.01.01 ~ 2018.12.31,"105,894,511,995",25,KRW,원익IPS,240810,2020
