rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,종목명,종목코드,조회연도
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,유동자산,제 27 기,2020.12.31 현재,"283,812,069,521",제 26 기,2019.12.31 현재,"246,642,872,319",제 25 기,2018.12.31 현재,"241,001,159,878",1,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,비유동자산,제 27 기,2020.12.31 현재,"197,343,703,432",제 26 기,2019.12.31 현재,"199,742,840,487",제 25 기,2018.12.31 현재,"187,463,076,148",3,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,자산총계,제 27 기,2020.12.31 현재,"481,155,772,953",제 26 기,2019.12.31 현재,"446,385,712,806",제 25 기,2018.12.31 현재,"428,464,236,026",5,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,유동부채,제 27 기,2020.12.31 현재,"70,299,707,822",제 26 기,2019.12.31 현재,"52,326,110,212",제 25 기,2018.12.31 현재,"46,425,594,670",7,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,비유동부채,제 27 기,2020.12.31 현재,"1,042,440,727",제 26 기,2019.12.31 현재,"272,405,116",제 25 기,2018.12.31 현재,"3,258,907,758",9,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,부채총계,제 27 기,2020.12.31 현재,"71,342,148,549",제 26 기,2019.12.31 현재,"52,598,515,328",제 25 기,2018.12.31 현재,"49,684,502,428",11,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,자본금,제 27 기,2020.12.31 현재,"6,159,775,000",제 26 기,2019.12.31 현재,"6,159,775,000",제 25 기,2018.12.31 현재,"6,140,313,000",13,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 27 기,2020.12.31 현재,"327,940,000,962",제 26 기,2019.12.31 현재,"306,115,825,819",제 25 기,2018.12.31 현재,"295,243,005,747",17,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,BS,재무상태표,자본총계,제 27 기,2020.12.31 현재,"409,813,624,404",제 26 기,2019.12.31 현재,"393,787,197,478",제 25 기,2018.12.31 현재,"378,779,733,598",21,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,IS,손익계산서,매출액,제 27 기,2020.01.01 ~ 2020.12.31,"325,124,139,365",제 26 기,2019.01.01 ~ 2019.12.31,"206,470,463,250",제 25 기,2018.01.01 ~ 2018.12.31,"294,095,045,463",23,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,IS,손익계산서,영업이익,제 27 기,2020.01.01 ~ 2020.12.31,"38,485,391,168",제 26 기,2019.01.01 ~ 2019.12.31,"7,100,164,927",제 25 기,2018.01.01 ~ 2018.12.31,"17,858,924,769",25,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2020.01.01 ~ 2020.12.31,"30,610,638,191",제 26 기,2019.01.01 ~ 2019.12.31,"14,787,039,513",제 25 기,2018.01.01 ~ 2018.12.31,"20,473,278,790",27,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2020.01.01 ~ 2020.12.31,"21,554,316,083",제 26 기,2019.01.01 ~ 2019.12.31,"11,846,028,169",제 25 기,2018.01.01 ~ 2018.12.31,"21,883,395,724",29,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2020.01.01 ~ 2020.12.31,"21,554,316,083",제 26 기,2019.01.01 ~ 2019.12.31,"11,846,028,169",제 25 기,2018.01.01 ~ 2018.12.31,"21,883,395,724",61,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,유동자산,제 27 기,2020.12.31 현재,"236,065,495,332",제 26 기,2019.12.31 현재,"217,949,077,387",제 25 기,2018.12.31 현재,"221,708,501,240",2,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,비유동자산,제 27 기,2020.12.31 현재,"192,326,440,118",제 26 기,2019.12.31 현재,"165,986,647,129",제 25 기,2018.12.31 현재,"151,286,373,956",4,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,자산총계,제 27 기,2020.12.31 현재,"428,391,935,450",제 26 기,2019.12.31 현재,"383,935,724,516",제 25 기,2018.12.31 현재,"372,994,875,196",6,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,유동부채,제 27 기,2020.12.31 현재,"73,268,215,529",제 26 기,2019.12.31 현재,"54,516,816,217",제 25 기,2018.12.31 현재,"49,638,802,649",8,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,비유동부채,제 27 기,2020.12.31 현재,-,제 26 기,2019.12.31 현재,-,제 25 기,2018.12.31 현재,"2,438,880,488",10,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,부채총계,제 27 기,2020.12.31 현재,"73,268,215,529",제 26 기,2019.12.31 현재,"54,516,816,217",제 25 기,2018.12.31 현재,"52,077,683,137",12,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,자본금,제 27 기,2020.12.31 현재,"78,893,066,234",제 26 기,2019.12.31 현재,"78,893,066,234",제 25 기,2018.12.31 현재,"76,893,136,434",15,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,이익잉여금,제 27 기,2020.12.31 현재,"277,980,694,636",제 26 기,2019.12.31 현재,"246,621,949,294",제 25 기,2018.12.31 현재,"240,594,338,806",19,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,BS,재무상태표,자본총계,제 27 기,2020.12.31 현재,"355,123,719,921",제 26 기,2019.12.31 현재,"329,418,908,299",제 25 기,2018.12.31 현재,"320,917,192,059",22,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,IS,손익계산서,매출액,제 27 기,2020.01.01 ~ 2020.12.31,"306,018,089,413",제 26 기,2019.01.01 ~ 2019.12.31,"180,044,581,798",제 25 기,2018.01.01 ~ 2018.12.31,"271,472,082,371",24,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,IS,손익계산서,영업이익,제 27 기,2020.01.01 ~ 2020.12.31,"41,258,354,948",제 26 기,2019.01.01 ~ 2019.12.31,"8,253,838,583",제 25 기,2018.01.01 ~ 2018.12.31,"7,245,336,413",26,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2020.01.01 ~ 2020.12.31,"38,411,395,052",제 26 기,2019.01.01 ~ 2019.12.31,"9,425,923,888",제 25 기,2018.01.01 ~ 2018.12.31,"8,089,862,860",28,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2020.01.01 ~ 2020.12.31,"30,883,821,729",제 26 기,2019.01.01 ~ 2019.12.31,"7,255,387,888",제 25 기,2018.01.01 ~ 2018.12.31,"5,477,795,682",30,KRW,이오테크닉스,039030,2020
20210318001314,11011,2020,00246417,039030,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 27 기,2020.01.01 ~ 2020.12.31,"30,883,821,729",제 26 기,2019.01.01 ~ 2019.12.31,"7,255,387,888",제 25 기,2018.01.01 ~ 2018.12.31,"5,477,795,682",62,KRW,이오테크닉스,039030,2020
20220321001425,11011,2021,00246417,039030,CFS,연결재무제표,BS,재무상태표,유동자산,제 28 기,2021.12.31 현재,"370,725,059,377",제 27 기,2020.12.31 현재,"283,812,069,521",제 26 기,2019.12.31 현재,"246,642,872,319",1,KRW,이오테크닉스,039030,2021
20220321001425,11011,2021,00246417,039030,CFS,연결재무제표,BS,재무상태표,비유동자산,제 28 기,2021.12.31 현재,"195,319,524,082",제 27 기,2020.12.31 현재,"197,343,703,432",제 26 기,2019.12.31 현재,"199,742,840,487",3,KRW,이오테크닉스,039030,2021
20220321001425,11011,2021,00246417,039030,CFS,연결재무제표,BS,재무상태표,자산총계,제 28 기,2021.12.31 현재,"566,044,583,459",제 27 기,2020.12.31 현재,"481,155,772,953",제 26 기,2019.12.31 현재,"446,385,712,806",5,KRW,이오테크닉스,039030,2021
20220321001425,11011,2021,00246417,039030,CFS,연결재무제표,BS,재무상태표,유동부채,제 28 기,2021.12.31 현재,"80,666,358,264",제 27 기,2020.12.31 현재,"70,299,707,822",제 26 기,2019.12.31 현재,"52,326,110,212",7,KRW,이오테크닉스,039030,2021
20220321001425,11011,2021,00246417,039030,CFS,연결재무제표,BS,재무상태표,비유동부채,제 28 기,2021.12.31 현재,"598,394,506",제 27 기,2020.12.31 현재,"1,042,440,727",제 26 기,2019.12.31 현재,"272,405,116",9,KRW,이오테크닉스,039030,2021
20220321001425,11011,2021,00246417,039030,CFS,연결재무제표,BS,재무상태표,부채총계,제 28 기,2021.12.31 현재,"81,264,752,770",제 27 기,2020.12.31 현재,"71,342,148,549",제 26 기,2019.12.31 현재,"52,598,515,328",11,KRW,이오테크닉스,039030,2021
20220321001425,11011,2021,00246417,039030,CFS,연결재무제표,BS,재무상태표,자본금,제 28 기,2021.12.31 현재,"6,159,775,000",제 27 기,2020.12.31 현재,"6,159,775,000",제 26 기,2019.12.31 현재,"6,159,775,000",13,KRW,이오테크닉스,039030,2021
