rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,종목명,종목코드,조회연도
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,유동자산,제 41 기,2020.12.31 현재,"208,937,098,511",제 40 기,2019.12.31 현재,"129,499,857,299",제 39 기,2018.12.31 현재,"113,439,021,981",1,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,비유동자산,제 41 기,2020.12.31 현재,"118,029,769,527",제 40 기,2019.12.31 현재,"127,974,824,030",제 39 기,2018.12.31 현재,"132,589,926,289",3,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,자산총계,제 41 기,2020.12.31 현재,"326,966,868,038",제 40 기,2019.12.31 현재,"257,474,681,329",제 39 기,2018.12.31 현재,"246,028,948,270",5,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,유동부채,제 41 기,2020.12.31 현재,"67,572,880,984",제 40 기,2019.12.31 현재,"31,765,712,250",제 39 기,2018.12.31 현재,"29,310,767,084",7,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,비유동부채,제 41 기,2020.12.31 현재,"2,303,444,251",제 40 기,2019.12.31 현재,"6,003,767,275",제 39 기,2018.12.31 현재,"1,161,114,311",9,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,부채총계,제 41 기,2020.12.31 현재,"69,876,325,235",제 40 기,2019.12.31 현재,"37,769,479,525",제 39 기,2018.12.31 현재,"30,471,881,395",11,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,자본금,제 41 기,2020.12.31 현재,"12,716,420,500",제 40 기,2019.12.31 현재,"12,716,420,500",제 39 기,2018.12.31 현재,"12,716,420,500",13,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 41 기,2020.12.31 현재,"215,235,788,066",제 40 기,2019.12.31 현재,"208,881,643,066",제 39 기,2018.12.31 현재,"203,941,883,900",17,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,BS,재무상태표,자본총계,제 41 기,2020.12.31 현재,"257,090,542,803",제 40 기,2019.12.31 현재,"219,705,201,804",제 39 기,2018.12.31 현재,"215,557,066,875",21,KRW,한미반도체,042700,2020
20210311000922,11011,2020,00161383,042700,CFS,연결재무제표,IS,손익계산서,매출액,제 41 기,2020.01.01 ~ 2020.12.31,"257,385,897,660",제 40 기,2019.01.01 ~ 2019.12.31,"120,377,520,384",제 39 기,2018.01.01 ~ 2018.12.31,"217,114,859,555",23,KRW,한미반도체,042700,2020
