날짜,원달러환율,CD91일금리,국고채3년금리,회사채3년AA금리
2015-01-02,1099.2,2.13,2.135,2.464
2015-01-05,1102.6,2.13,2.118,2.446
2015-01-06,1108.7,2.13,2.079,2.408
2015-01-07,1103.9,2.13,2.076,2.408
2015-01-08,1099.7,2.13,2.072,2.403
2015-01-09,1098.5,2.13,2.056,2.391
2015-01-12,1092.2,2.13,2.006,2.339
2015-01-13,1083.0,2.13,2.024,2.343
2015-01-14,1081.5,2.13,1.974,2.296
2015-01-15,1079.9,2.13,2.044,2.362
2015-01-16,1084.1,2.13,2.012,2.33
2015-01-19,1077.3,2.13,2.038,2.359
2015-01-20,1079.8,2.13,2.031,2.346
2015-01-21,1084.4,2.13,2.045,2.361
2015-01-22,1086.8,2.13,2.063,2.377
2015-01-23,1085.3,2.13,2.027,2.333
2015-01-26,1084.1,2.13,2.024,2.322
2015-01-27,1079.3,2.13,2.029,2.325
2015-01-28,1082.1,2.12,2.004,2.303
2015-01-29,1082.9,2.12,1.998,2.296
2015-01-30,1090.8,2.12,1.97,2.274
2015-02-02,1095.9,2.12,1.985,2.28
2015-02-03,1101.2,2.12,1.935,2.241
2015-02-04,1098.3,2.12,1.961,2.258
2015-02-05,1089.2,2.12,1.975,2.266
2015-02-06,1089.2,2.12,1.962,2.251
2015-02-09,1088.3,2.12,1.977,2.264
2015-02-10,1097.0,2.12,2.056,2.321
2015-02-11,1090.8,2.12,2.051,2.318
2015-02-12,1096.9,2.12,2.075,2.34
2015-02-13,1107.5,2.12,2.05,2.321
2015-02-16,1098.4,2.12,2.091,2.356
2015-02-17,1098.7,2.12,2.054,2.323
2015-02-23,1101.3,2.12,2.061,2.332
2015-02-24,1109.8,2.1,2.063,2.334
2015-02-25,1108.6,2.1,2.037,2.307
2015-02-26,1102.5,2.1,2.04,2.302
2015-02-27,1099.2,2.1,2.034,2.291
2015-03-02,1099.5,2.1,2.0,2.263
2015-03-03,1102.5,2.1,1.99,2.258
2015-03-04,1100.0,2.1,1.98,2.25
2015-03-05,1096.5,2.1,1.978,2.246
2015-03-06,1100.1,2.1,1.943,2.214
2015-03-09,1099.5,2.1,1.924,2.202
2015-03-10,1110.3,2.1,1.937,2.206
2015-03-11,1119.5,2.1,1.907,2.166
2015-03-12,1126.6,1.91,1.896,2.154
2015-03-13,1130.9,1.9,1.869,2.129
2015-03-16,1125.6,1.89,1.856,2.115
2015-03-17,1133.9,1.88,1.872,2.126
2015-03-18,1130.1,1.87,1.859,2.114
2015-03-19,1126.6,1.87,1.825,2.083
2015-03-20,1114.0,1.86,1.797,2.062
2015-03-23,1121.7,1.86,1.793,2.058
2015-03-24,1115.9,1.86,1.795,2.055
2015-03-25,1107.1,1.86,1.785,2.045
2015-03-26,1102.7,1.86,1.779,2.043
2015-03-27,1104.2,1.86,1.77,2.03
2015-03-30,1104.3,1.85,1.748,2.011
2015-03-31,1105.0,1.85,1.721,1.992
2015-04-01,1109.4,1.85,1.72,1.99
2015-04-02,1103.8,1.85,1.721,1.988
2015-04-03,1098.0,1.85,1.714,1.98
2015-04-06,1094.6,1.85,1.714,1.971
2015-04-07,1086.0,1.83,1.721,1.975
2015-04-08,1089.7,1.83,1.727,1.978
2015-04-09,1093.4,1.82,1.698,1.951
2015-04-10,1093.9,1.8,1.714,1.963
2015-04-13,1094.6,1.8,1.732,1.975
2015-04-14,1096.6,1.8,1.731,1.978
2015-04-15,1096.8,1.8,1.721,1.972
2015-04-16,1096.0,1.8,1.724,1.976
2015-04-17,1089.0,1.8,1.691,1.944
2015-04-20,1085.1,1.8,1.693,1.948
2015-04-21,1082.7,1.8,1.71,1.958
2015-04-22,1083.5,1.8,1.71,1.959
2015-04-23,1081.8,1.8,1.745,1.983
2015-04-24,1083.2,1.8,1.771,2.008
2015-04-27,1079.0,1.8,1.786,2.019
2015-04-28,1074.5,1.8,1.829,2.062
2015-04-29,1070.9,1.8,1.842,2.079
2015-04-30,1068.1,1.8,1.843,2.08
2015-05-04,1069.5,1.8,1.896,2.131
