날짜,국고채3년금리,항목명,단위
2015-01-02,2.135,국고채(3년),연%
2015-01-05,2.118,국고채(3년),연%
2015-01-06,2.079,국고채(3년),연%
2015-01-07,2.076,국고채(3년),연%
2015-01-08,2.072,국고채(3년),연%
2015-01-09,2.056,국고채(3년),연%
2015-01-12,2.006,국고채(3년),연%
2015-01-13,2.024,국고채(3년),연%
2015-01-14,1.974,국고채(3년),연%
2015-01-15,2.044,국고채(3년),연%
2015-01-16,2.012,국고채(3년),연%
2015-01-19,2.038,국고채(3년),연%
2015-01-20,2.031,국고채(3년),연%
2015-01-21,2.045,국고채(3년),연%
2015-01-22,2.063,국고채(3년),연%
2015-01-23,2.027,국고채(3년),연%
2015-01-26,2.024,국고채(3년),연%
2015-01-27,2.029,국고채(3년),연%
2015-01-28,2.004,국고채(3년),연%
2015-01-29,1.998,국고채(3년),연%
2015-01-30,1.97,국고채(3년),연%
2015-02-02,1.985,국고채(3년),연%
2015-02-03,1.935,국고채(3년),연%
2015-02-04,1.961,국고채(3년),연%
2015-02-05,1.975,국고채(3년),연%
2015-02-06,1.962,국고채(3년),연%
2015-02-09,1.977,국고채(3년),연%
2015-02-10,2.056,국고채(3년),연%
2015-02-11,2.051,국고채(3년),연%
2015-02-12,2.075,국고채(3년),연%
2015-02-13,2.05,국고채(3년),연%
2015-02-16,2.091,국고채(3년),연%
2015-02-17,2.054,국고채(3년),연%
2015-02-23,2.061,국고채(3년),연%
2015-02-24,2.063,국고채(3년),연%
2015-02-25,2.037,국고채(3년),연%
2015-02-26,2.04,국고채(3년),연%
2015-02-27,2.034,국고채(3년),연%
2015-03-02,2.0,국고채(3년),연%
2015-03-03,1.99,국고채(3년),연%
2015-03-04,1.98,국고채(3년),연%
2015-03-05,1.978,국고채(3년),연%
2015-03-06,1.943,국고채(3년),연%
2015-03-09,1.924,국고채(3년),연%
2015-03-10,1.937,국고채(3년),연%
2015-03-11,1.907,국고채(3년),연%
2015-03-12,1.896,국고채(3년),연%
2015-03-13,1.869,국고채(3년),연%
2015-03-16,1.856,국고채(3년),연%
2015-03-17,1.872,국고채(3년),연%
2015-03-18,1.859,국고채(3년),연%
2015-03-19,1.825,국고채(3년),연%
2015-03-20,1.797,국고채(3년),연%
2015-03-23,1.793,국고채(3년),연%
2015-03-24,1.795,국고채(3년),연%
2015-03-25,1.785,국고채(3년),연%
2015-03-26,1.779,국고채(3년),연%
2015-03-27,1.77,국고채(3년),연%
2015-03-30,1.748,국고채(3년),연%
2015-03-31,1.721,국고채(3년),연%
2015-04-01,1.72,국고채(3년),연%
2015-04-02,1.721,국고채(3년),연%
2015-04-03,1.714,국고채(3년),연%
2015-04-06,1.714,국고채(3년),연%
2015-04-07,1.721,국고채(3년),연%
2015-04-08,1.727,국고채(3년),연%
2015-04-09,1.698,국고채(3년),연%
2015-04-10,1.714,국고채(3년),연%
2015-04-13,1.732,국고채(3년),연%
2015-04-14,1.731,국고채(3년),연%
2015-04-15,1.721,국고채(3년),연%
2015-04-16,1.724,국고채(3년),연%
2015-04-17,1.691,국고채(3년),연%
2015-04-20,1.693,국고채(3년),연%
2015-04-21,1.71,국고채(3년),연%
2015-04-22,1.71,국고채(3년),연%
2015-04-23,1.745,국고채(3년),연%
2015-04-24,1.771,국고채(3년),연%
2015-04-27,1.786,국고채(3년),연%
2015-04-28,1.829,국고채(3년),연%
2015-04-29,1.842,국고채(3년),연%
2015-04-30,1.843,국고채(3년),연%
2015-05-04,1.896,국고채(3년),연%
2015-05-06,1.969,국고채(3년),연%
2015-05-07,1.966,국고채(3년),연%
2015-05-08,1.888,국고채(3년),연%
2015-05-11,1.876,국고채(3년),연%
2015-05-12,1.942,국고채(3년),연%
2015-05-13,1.864,국고채(3년),연%
2015-05-14,1.857,국고채(3년),연%
2015-05-15,1.881,국고채(3년),연%
2015-05-18,1.889,국고채(3년),연%
2015-05-19,1.903,국고채(3년),연%
2015-05-20,1.878,국고채(3년),연%
2015-05-21,1.88,국고채(3년),연%
2015-05-22,1.871,국고채(3년),연%
2015-05-26,1.846,국고채(3년),연%
2015-05-27,1.809,국고채(3년),연%
2015-05-28,1.798,국고채(3년),연%
2015-05-29,1.745,국고채(3년),연%
2015-06-01,1.746,국고채(3년),연%
2015-06-02,1.726,국고채(3년),연%
2015-06-03,1.757,국고채(3년),연%
2015-06-04,1.767,국고채(3년),연%
2015-06-05,1.741,국고채(3년),연%
2015-06-08,1.729,국고채(3년),연%
2015-06-09,1.733,국고채(3년),연%
2015-06-10,1.773,국고채(3년),연%
2015-06-11,1.797,국고채(3년),연%
2015-06-12,1.762,국고채(3년),연%
2015-06-15,1.764,국고채(3년),연%
2015-06-16,1.766,국고채(3년),연%
2015-06-17,1.8,국고채(3년),연%
2015-06-18,1.778,국고채(3년),연%
2015-06-19,1.77,국고채(3년),연%
2015-06-22,1.787,국고채(3년),연%
2015-06-23,1.795,국고채(3년),연%
2015-06-24,1.806,국고채(3년),연%
2015-06-25,1.814,국고채(3년),연%
2015-06-26,1.818,국고채(3년),연%
2015-06-29,1.793,국고채(3년),연%
2015-06-30,1.793,국고채(3년),연%
2015-07-01,1.805,국고채(3년),연%
2015-07-02,1.828,국고채(3년),연%
2015-07-03,1.826,국고채(3년),연%
2015-07-06,1.829,국고채(3년),연%
2015-07-07,1.825,국고채(3년),연%
2015-07-08,1.807,국고채(3년),연%
2015-07-09,1.802,국고채(3년),연%
2015-07-10,1.806,국고채(3년),연%
2015-07-13,1.804,국고채(3년),연%
2015-07-14,1.796,국고채(3년),연%
2015-07-15,1.795,국고채(3년),연%
2015-07-16,1.789,국고채(3년),연%
2015-07-17,1.784,국고채(3년),연%
2015-07-20,1.775,국고채(3년),연%
2015-07-21,1.771,국고채(3년),연%
2015-07-22,1.749,국고채(3년),연%
2015-07-23,1.716,국고채(3년),연%
2015-07-24,1.706,국고채(3년),연%
2015-07-27,1.703,국고채(3년),연%
2015-07-28,1.731,국고채(3년),연%
2015-07-29,1.716,국고채(3년),연%
2015-07-30,1.735,국고채(3년),연%
2015-07-31,1.768,국고채(3년),연%
2015-08-03,1.76,국고채(3년),연%
2015-08-04,1.774,국고채(3년),연%
2015-08-05,1.792,국고채(3년),연%
2015-08-06,1.786,국고채(3년),연%
2015-08-07,1.783,국고채(3년),연%
2015-08-10,1.763,국고채(3년),연%
2015-08-11,1.737,국고채(3년),연%
2015-08-12,1.705,국고채(3년),연%
2015-08-13,1.729,국고채(3년),연%
2015-08-17,1.723,국고채(3년),연%
2015-08-18,1.716,국고채(3년),연%
2015-08-19,1.73,국고채(3년),연%
2015-08-20,1.714,국고채(3년),연%
2015-08-21,1.709,국고채(3년),연%
2015-08-24,1.693,국고채(3년),연%
2015-08-25,1.708,국고채(3년),연%
2015-08-26,1.719,국고채(3년),연%
2015-08-27,1.705,국고채(3년),연%
2015-08-28,1.718,국고채(3년),연%
2015-08-31,1.735,국고채(3년),연%
2015-09-01,1.725,국고채(3년),연%
2015-09-02,1.696,국고채(3년),연%
2015-09-03,1.674,국고채(3년),연%
2015-09-04,1.645,국고채(3년),연%
2015-09-07,1.651,국고채(3년),연%
2015-09-08,1.668,국고채(3년),연%
2015-09-09,1.68,국고채(3년),연%
2015-09-10,1.65,국고채(3년),연%
2015-09-11,1.655,국고채(3년),연%
2015-09-14,1.667,국고채(3년),연%
2015-09-15,1.653,국고채(3년),연%
2015-09-16,1.67,국고채(3년),연%
2015-09-17,1.683,국고채(3년),연%
2015-09-18,1.635,국고채(3년),연%
2015-09-21,1.617,국고채(3년),연%
2015-09-22,1.624,국고채(3년),연%
2015-09-23,1.619,국고채(3년),연%
2015-09-24,1.63,국고채(3년),연%
2015-09-25,1.615,국고채(3년),연%
2015-09-30,1.568,국고채(3년),연%
2015-10-01,1.596,국고채(3년),연%
2015-10-02,1.584,국고채(3년),연%
2015-10-05,1.577,국고채(3년),연%
2015-10-06,1.591,국고채(3년),연%
2015-10-07,1.614,국고채(3년),연%
2015-10-08,1.615,국고채(3년),연%
2015-10-12,1.646,국고채(3년),연%
2015-10-13,1.638,국고채(3년),연%
2015-10-14,1.657,국고채(3년),연%
2015-10-15,1.623,국고채(3년),연%
2015-10-16,1.622,국고채(3년),연%
2015-10-19,1.622,국고채(3년),연%
2015-10-20,1.64,국고채(3년),연%
2015-10-21,1.649,국고채(3년),연%
2015-10-22,1.654,국고채(3년),연%
2015-10-23,1.65,국고채(3년),연%
2015-10-26,1.645,국고채(3년),연%
2015-10-27,1.63,국고채(3년),연%
2015-10-28,1.626,국고채(3년),연%
2015-10-29,1.641,국고채(3년),연%
2015-10-30,1.657,국고채(3년),연%
