날짜,원달러환율,항목명,단위
2015-01-02,1099.2,원/미국달러(매매기준율),원
2015-01-05,1102.6,원/미국달러(매매기준율),원
2015-01-06,1108.7,원/미국달러(매매기준율),원
2015-01-07,1103.9,원/미국달러(매매기준율),원
2015-01-08,1099.7,원/미국달러(매매기준율),원
2015-01-09,1098.5,원/미국달러(매매기준율),원
2015-01-12,1092.2,원/미국달러(매매기준율),원
2015-01-13,1083.0,원/미국달러(매매기준율),원
2015-01-14,1081.5,원/미국달러(매매기준율),원
2015-01-15,1079.9,원/미국달러(매매기준율),원
2015-01-16,1084.1,원/미국달러(매매기준율),원
2015-01-19,1077.3,원/미국달러(매매기준율),원
2015-01-20,1079.8,원/미국달러(매매기준율),원
2015-01-21,1084.4,원/미국달러(매매기준율),원
2015-01-22,1086.8,원/미국달러(매매기준율),원
2015-01-23,1085.3,원/미국달러(매매기준율),원
2015-01-26,1084.1,원/미국달러(매매기준율),원
2015-01-27,1079.3,원/미국달러(매매기준율),원
2015-01-28,1082.1,원/미국달러(매매기준율),원
2015-01-29,1082.9,원/미국달러(매매기준율),원
2015-01-30,1090.8,원/미국달러(매매기준율),원
2015-02-02,1095.9,원/미국달러(매매기준율),원
2015-02-03,1101.2,원/미국달러(매매기준율),원
2015-02-04,1098.3,원/미국달러(매매기준율),원
2015-02-05,1089.2,원/미국달러(매매기준율),원
2015-02-06,1089.2,원/미국달러(매매기준율),원
2015-02-09,1088.3,원/미국달러(매매기준율),원
2015-02-10,1097.0,원/미국달러(매매기준율),원
2015-02-11,1090.8,원/미국달러(매매기준율),원
2015-02-12,1096.9,원/미국달러(매매기준율),원
2015-02-13,1107.5,원/미국달러(매매기준율),원
2015-02-16,1098.4,원/미국달러(매매기준율),원
2015-02-17,1098.7,원/미국달러(매매기준율),원
2015-02-23,1101.3,원/미국달러(매매기준율),원
2015-02-24,1109.8,원/미국달러(매매기준율),원
2015-02-25,1108.6,원/미국달러(매매기준율),원
2015-02-26,1102.5,원/미국달러(매매기준율),원
2015-02-27,1099.2,원/미국달러(매매기준율),원
2015-03-02,1099.5,원/미국달러(매매기준율),원
2015-03-03,1102.5,원/미국달러(매매기준율),원
2015-03-04,1100.0,원/미국달러(매매기준율),원
2015-03-05,1096.5,원/미국달러(매매기준율),원
2015-03-06,1100.1,원/미국달러(매매기준율),원
2015-03-09,1099.5,원/미국달러(매매기준율),원
2015-03-10,1110.3,원/미국달러(매매기준율),원
2015-03-11,1119.5,원/미국달러(매매기준율),원
2015-03-12,1126.6,원/미국달러(매매기준율),원
2015-03-13,1130.9,원/미국달러(매매기준율),원
2015-03-16,1125.6,원/미국달러(매매기준율),원
2015-03-17,1133.9,원/미국달러(매매기준율),원
2015-03-18,1130.1,원/미국달러(매매기준율),원
2015-03-19,1126.6,원/미국달러(매매기준율),원
2015-03-20,1114.0,원/미국달러(매매기준율),원
2015-03-23,1121.7,원/미국달러(매매기준율),원
2015-03-24,1115.9,원/미국달러(매매기준율),원
2015-03-25,1107.1,원/미국달러(매매기준율),원
2015-03-26,1102.7,원/미국달러(매매기준율),원
2015-03-27,1104.2,원/미국달러(매매기준율),원
2015-03-30,1104.3,원/미국달러(매매기준율),원
2015-03-31,1105.0,원/미국달러(매매기준율),원
2015-04-01,1109.4,원/미국달러(매매기준율),원
2015-04-02,1103.8,원/미국달러(매매기준율),원
2015-04-03,1098.0,원/미국달러(매매기준율),원
2015-04-06,1094.6,원/미국달러(매매기준율),원
2015-04-07,1086.0,원/미국달러(매매기준율),원
2015-04-08,1089.7,원/미국달러(매매기준율),원
2015-04-09,1093.4,원/미국달러(매매기준율),원
2015-04-10,1093.9,원/미국달러(매매기준율),원
2015-04-13,1094.6,원/미국달러(매매기준율),원
2015-04-14,1096.6,원/미국달러(매매기준율),원
2015-04-15,1096.8,원/미국달러(매매기준율),원
2015-04-16,1096.0,원/미국달러(매매기준율),원
2015-04-17,1089.0,원/미국달러(매매기준율),원
2015-04-20,1085.1,원/미국달러(매매기준율),원
2015-04-21,1082.7,원/미국달러(매매기준율),원
2015-04-22,1083.5,원/미국달러(매매기준율),원
2015-04-23,1081.8,원/미국달러(매매기준율),원
2015-04-24,1083.2,원/미국달러(매매기준율),원
2015-04-27,1079.0,원/미국달러(매매기준율),원
2015-04-28,1074.5,원/미국달러(매매기준율),원
2015-04-29,1070.9,원/미국달러(매매기준율),원
2015-04-30,1068.1,원/미국달러(매매기준율),원
2015-05-04,1069.5,원/미국달러(매매기준율),원
2015-05-06,1080.5,원/미국달러(매매기준율),원
2015-05-07,1081.0,원/미국달러(매매기준율),원
2015-05-08,1086.6,원/미국달러(매매기준율),원
2015-05-11,1091.3,원/미국달러(매매기준율),원
2015-05-12,1089.9,원/미국달러(매매기준율),원
2015-05-13,1096.2,원/미국달러(매매기준율),원
2015-05-14,1094.9,원/미국달러(매매기준율),원
2015-05-15,1093.6,원/미국달러(매매기준율),원
2015-05-18,1089.2,원/미국달러(매매기준율),원
2015-05-19,1085.5,원/미국달러(매매기준율),원
2015-05-20,1090.9,원/미국달러(매매기준율),원
2015-05-21,1095.2,원/미국달러(매매기준율),원
2015-05-22,1094.4,원/미국달러(매매기준율),원
2015-05-26,1090.8,원/미국달러(매매기준율),원
2015-05-27,1098.4,원/미국달러(매매기준율),원
2015-05-28,1107.0,원/미국달러(매매기준율),원
2015-05-29,1108.0,원/미국달러(매매기준율),원
2015-06-01,1107.6,원/미국달러(매매기준율),원
2015-06-02,1111.6,원/미국달러(매매기준율),원
2015-06-03,1114.5,원/미국달러(매매기준율),원
2015-06-04,1106.0,원/미국달러(매매기준율),원
2015-06-05,1109.9,원/미국달러(매매기준율),원
2015-06-08,1112.1,원/미국달러(매매기준율),원
2015-06-09,1121.5,원/미국달러(매매기준율),원
2015-06-10,1119.3,원/미국달러(매매기준율),원
2015-06-11,1117.3,원/미국달러(매매기준율),원
2015-06-12,1110.4,원/미국달러(매매기준율),원
2015-06-15,1111.9,원/미국달러(매매기준율),원
2015-06-16,1116.2,원/미국달러(매매기준율),원
2015-06-17,1117.3,원/미국달러(매매기준율),원
2015-06-18,1117.6,원/미국달러(매매기준율),원
2015-06-19,1109.9,원/미국달러(매매기준율),원
2015-06-22,1104.0,원/미국달러(매매기준율),원
2015-06-23,1099.9,원/미국달러(매매기준율),원
2015-06-24,1104.1,원/미국달러(매매기준율),원
2015-06-25,1108.4,원/미국달러(매매기준율),원
2015-06-26,1109.6,원/미국달러(매매기준율),원
2015-06-29,1115.1,원/미국달러(매매기준율),원
2015-06-30,1124.1,원/미국달러(매매기준율),원
2015-07-01,1118.3,원/미국달러(매매기준율),원
2015-07-02,1118.5,원/미국달러(매매기준율),원
2015-07-03,1123.2,원/미국달러(매매기준율),원
2015-07-06,1120.1,원/미국달러(매매기준율),원
2015-07-07,1126.3,원/미국달러(매매기준율),원
2015-07-08,1129.6,원/미국달러(매매기준율),원
2015-07-09,1135.7,원/미국달러(매매기준율),원
2015-07-10,1136.2,원/미국달러(매매기준율),원
2015-07-13,1130.0,원/미국달러(매매기준율),원
2015-07-14,1131.5,원/미국달러(매매기준율),원
2015-07-15,1139.4,원/미국달러(매매기준율),원
2015-07-16,1141.5,원/미국달러(매매기준율),원
2015-07-17,1148.4,원/미국달러(매매기준율),원
2015-07-20,1146.3,원/미국달러(매매기준율),원
2015-07-21,1151.9,원/미국달러(매매기준율),원
2015-07-22,1158.4,원/미국달러(매매기준율),원
2015-07-23,1152.6,원/미국달러(매매기준율),원
2015-07-24,1162.3,원/미국달러(매매기준율),원
2015-07-27,1164.6,원/미국달러(매매기준율),원
2015-07-28,1168.9,원/미국달러(매매기준율),원
2015-07-29,1166.2,원/미국달러(매매기준율),원
2015-07-30,1157.9,원/미국달러(매매기준율),원
2015-07-31,1166.3,원/미국달러(매매기준율),원
2015-08-03,1169.4,원/미국달러(매매기준율),원
2015-08-04,1165.2,원/미국달러(매매기준율),원
2015-08-05,1169.3,원/미국달러(매매기준율),원
2015-08-06,1172.1,원/미국달러(매매기준율),원
2015-08-07,1170.2,원/미국달러(매매기준율),원
2015-08-10,1164.3,원/미국달러(매매기준율),원
2015-08-11,1165.3,원/미국달러(매매기준율),원
2015-08-12,1170.4,원/미국달러(매매기준율),원
2015-08-13,1190.3,원/미국달러(매매기준율),원
2015-08-17,1174.2,원/미국달러(매매기준율),원
2015-08-18,1182.2,원/미국달러(매매기준율),원
2015-08-19,1184.7,원/미국달러(매매기준율),원
2015-08-20,1185.1,원/미국달러(매매기준율),원
2015-08-21,1185.1,원/미국달러(매매기준율),원
2015-08-24,1192.0,원/미국달러(매매기준율),원
2015-08-25,1198.1,원/미국달러(매매기준율),원
2015-08-26,1194.6,원/미국달러(매매기준율),원
2015-08-27,1188.9,원/미국달러(매매기준율),원
2015-08-28,1184.3,원/미국달러(매매기준율),원
2015-08-31,1176.3,원/미국달러(매매기준율),원
2015-09-01,1183.0,원/미국달러(매매기준율),원
2015-09-02,1175.6,원/미국달러(매매기준율),원
2015-09-03,1178.0,원/미국달러(매매기준율),원
2015-09-04,1187.6,원/미국달러(매매기준율),원
2015-09-07,1191.0,원/미국달러(매매기준율),원
2015-09-08,1202.0,원/미국달러(매매기준율),원
2015-09-09,1203.1,원/미국달러(매매기준율),원
2015-09-10,1192.0,원/미국달러(매매기준율),원
2015-09-11,1195.8,원/미국달러(매매기준율),원
2015-09-14,1183.8,원/미국달러(매매기준율),원
2015-09-15,1181.0,원/미국달러(매매기준율),원
2015-09-16,1182.4,원/미국달러(매매기준율),원
2015-09-17,1179.4,원/미국달러(매매기준율),원
2015-09-18,1169.7,원/미국달러(매매기준율),원
2015-09-21,1166.7,원/미국달러(매매기준율),원
2015-09-22,1173.0,원/미국달러(매매기준율),원
2015-09-23,1177.2,원/미국달러(매매기준율),원
2015-09-24,1187.5,원/미국달러(매매기준율),원
2015-09-25,1191.8,원/미국달러(매매기준율),원
2015-09-30,1194.5,원/미국달러(매매기준율),원
2015-10-01,1190.4,원/미국달러(매매기준율),원
2015-10-02,1179.0,원/미국달러(매매기준율),원
2015-10-05,1180.5,원/미국달러(매매기준율),원
2015-10-06,1172.1,원/미국달러(매매기준율),원
2015-10-07,1164.8,원/미국달러(매매기준율),원
2015-10-08,1165.2,원/미국달러(매매기준율),원
2015-10-12,1159.4,원/미국달러(매매기준율),원
2015-10-13,1147.4,원/미국달러(매매기준율),원
2015-10-14,1147.5,원/미국달러(매매기준율),원
2015-10-15,1150.1,원/미국달러(매매기준율),원
2015-10-16,1133.7,원/미국달러(매매기준율),원
2015-10-19,1128.9,원/미국달러(매매기준율),원
2015-10-20,1125.3,원/미국달러(매매기준율),원
2015-10-21,1130.1,원/미국달러(매매기준율),원
2015-10-22,1131.3,원/미국달러(매매기준율),원
2015-10-23,1138.2,원/미국달러(매매기준율),원
2015-10-26,1127.4,원/미국달러(매매기준율),원
2015-10-27,1134.1,원/미국달러(매매기준율),원
2015-10-28,1131.2,원/미국달러(매매기준율),원
2015-10-29,1132.9,원/미국달러(매매기준율),원
2015-10-30,1142.3,원/미국달러(매매기준율),원
2015-11-02,1138.6,원/미국달러(매매기준율),원
2015-11-03,1140.1,원/미국달러(매매기준율),원
2015-11-04,1133.4,원/미국달러(매매기준율),원
2015-11-05,1129.5,원/미국달러(매매기준율),원
2015-11-06,1137.1,원/미국달러(매매기준율),원
2015-11-09,1138.6,원/미국달러(매매기준율),원
2015-11-10,1154.1,원/미국달러(매매기준율),원
2015-11-11,1158.2,원/미국달러(매매기준율),원
2015-11-12,1154.8,원/미국달러(매매기준율),원
