날짜,회사채3년AA금리,항목명,단위
2015-01-02,2.464,"회사채(3년, AA-)",연%
2015-01-05,2.446,"회사채(3년, AA-)",연%
2015-01-06,2.408,"회사채(3년, AA-)",연%
2015-01-07,2.408,"회사채(3년, AA-)",연%
2015-01-08,2.403,"회사채(3년, AA-)",연%
2015-01-09,2.391,"회사채(3년, AA-)",연%
2015-01-12,2.339,"회사채(3년, AA-)",연%
2015-01-13,2.343,"회사채(3년, AA-)",연%
2015-01-14,2.296,"회사채(3년, AA-)",연%
2015-01-15,2.362,"회사채(3년, AA-)",연%
2015-01-16,2.33,"회사채(3년, AA-)",연%
2015-01-19,2.359,"회사채(3년, AA-)",연%
2015-01-20,2.346,"회사채(3년, AA-)",연%
2015-01-21,2.361,"회사채(3년, AA-)",연%
2015-01-22,2.377,"회사채(3년, AA-)",연%
2015-01-23,2.333,"회사채(3년, AA-)",연%
2015-01-26,2.322,"회사채(3년, AA-)",연%
2015-01-27,2.325,"회사채(3년, AA-)",연%
2015-01-28,2.303,"회사채(3년, AA-)",연%
2015-01-29,2.296,"회사채(3년, AA-)",연%
2015-01-30,2.274,"회사채(3년, AA-)",연%
2015-02-02,2.28,"회사채(3년, AA-)",연%
2015-02-03,2.241,"회사채(3년, AA-)",연%
2015-02-04,2.258,"회사채(3년, AA-)",연%
2015-02-05,2.266,"회사채(3년, AA-)",연%
2015-02-06,2.251,"회사채(3년, AA-)",연%
2015-02-09,2.264,"회사채(3년, AA-)",연%
2015-02-10,2.321,"회사채(3년, AA-)",연%
2015-02-11,2.318,"회사채(3년, AA-)",연%
2015-02-12,2.34,"회사채(3년, AA-)",연%
2015-02-13,2.321,"회사채(3년, AA-)",연%
2015-02-16,2.356,"회사채(3년, AA-)",연%
2015-02-17,2.323,"회사채(3년, AA-)",연%
2015-02-23,2.332,"회사채(3년, AA-)",연%
2015-02-24,2.334,"회사채(3년, AA-)",연%
2015-02-25,2.307,"회사채(3년, AA-)",연%
2015-02-26,2.302,"회사채(3년, AA-)",연%
2015-02-27,2.291,"회사채(3년, AA-)",연%
2015-03-02,2.263,"회사채(3년, AA-)",연%
2015-03-03,2.258,"회사채(3년, AA-)",연%
2015-03-04,2.25,"회사채(3년, AA-)",연%
2015-03-05,2.246,"회사채(3년, AA-)",연%
2015-03-06,2.214,"회사채(3년, AA-)",연%
2015-03-09,2.202,"회사채(3년, AA-)",연%
2015-03-10,2.206,"회사채(3년, AA-)",연%
2015-03-11,2.166,"회사채(3년, AA-)",연%
2015-03-12,2.154,"회사채(3년, AA-)",연%
2015-03-13,2.129,"회사채(3년, AA-)",연%
2015-03-16,2.115,"회사채(3년, AA-)",연%
2015-03-17,2.126,"회사채(3년, AA-)",연%
2015-03-18,2.114,"회사채(3년, AA-)",연%
2015-03-19,2.083,"회사채(3년, AA-)",연%
2015-03-20,2.062,"회사채(3년, AA-)",연%
2015-03-23,2.058,"회사채(3년, AA-)",연%
2015-03-24,2.055,"회사채(3년, AA-)",연%
2015-03-25,2.045,"회사채(3년, AA-)",연%
2015-03-26,2.043,"회사채(3년, AA-)",연%
2015-03-27,2.03,"회사채(3년, AA-)",연%
2015-03-30,2.011,"회사채(3년, AA-)",연%
2015-03-31,1.992,"회사채(3년, AA-)",연%
2015-04-01,1.99,"회사채(3년, AA-)",연%
2015-04-02,1.988,"회사채(3년, AA-)",연%
2015-04-03,1.98,"회사채(3년, AA-)",연%
2015-04-06,1.971,"회사채(3년, AA-)",연%
2015-04-07,1.975,"회사채(3년, AA-)",연%
2015-04-08,1.978,"회사채(3년, AA-)",연%
2015-04-09,1.951,"회사채(3년, AA-)",연%
2015-04-10,1.963,"회사채(3년, AA-)",연%
2015-04-13,1.975,"회사채(3년, AA-)",연%
2015-04-14,1.978,"회사채(3년, AA-)",연%
2015-04-15,1.972,"회사채(3년, AA-)",연%
2015-04-16,1.976,"회사채(3년, AA-)",연%
2015-04-17,1.944,"회사채(3년, AA-)",연%
2015-04-20,1.948,"회사채(3년, AA-)",연%
2015-04-21,1.958,"회사채(3년, AA-)",연%
2015-04-22,1.959,"회사채(3년, AA-)",연%
2015-04-23,1.983,"회사채(3년, AA-)",연%
2015-04-24,2.008,"회사채(3년, AA-)",연%
2015-04-27,2.019,"회사채(3년, AA-)",연%
2015-04-28,2.062,"회사채(3년, AA-)",연%
2015-04-29,2.079,"회사채(3년, AA-)",연%
2015-04-30,2.08,"회사채(3년, AA-)",연%
2015-05-04,2.131,"회사채(3년, AA-)",연%
2015-05-06,2.193,"회사채(3년, AA-)",연%
2015-05-07,2.189,"회사채(3년, AA-)",연%
2015-05-08,2.109,"회사채(3년, AA-)",연%
2015-05-11,2.103,"회사채(3년, AA-)",연%
2015-05-12,2.177,"회사채(3년, AA-)",연%
2015-05-13,2.107,"회사채(3년, AA-)",연%
2015-05-14,2.098,"회사채(3년, AA-)",연%
2015-05-15,2.121,"회사채(3년, AA-)",연%
2015-05-18,2.129,"회사채(3년, AA-)",연%
2015-05-19,2.142,"회사채(3년, AA-)",연%
2015-05-20,2.119,"회사채(3년, AA-)",연%
2015-05-21,2.122,"회사채(3년, AA-)",연%
2015-05-22,2.114,"회사채(3년, AA-)",연%
2015-05-26,2.095,"회사채(3년, AA-)",연%
2015-05-27,2.062,"회사채(3년, AA-)",연%
2015-05-28,2.054,"회사채(3년, AA-)",연%
2015-05-29,2.006,"회사채(3년, AA-)",연%
2015-06-01,2.008,"회사채(3년, AA-)",연%
2015-06-02,1.991,"회사채(3년, AA-)",연%
2015-06-03,2.018,"회사채(3년, AA-)",연%
2015-06-04,2.027,"회사채(3년, AA-)",연%
2015-06-05,2.0,"회사채(3년, AA-)",연%
2015-06-08,1.993,"회사채(3년, AA-)",연%
2015-06-09,1.99,"회사채(3년, AA-)",연%
2015-06-10,2.011,"회사채(3년, AA-)",연%
2015-06-11,2.035,"회사채(3년, AA-)",연%
2015-06-12,2.003,"회사채(3년, AA-)",연%
2015-06-15,2.0,"회사채(3년, AA-)",연%
2015-06-16,2.001,"회사채(3년, AA-)",연%
2015-06-17,2.03,"회사채(3년, AA-)",연%
2015-06-18,2.013,"회사채(3년, AA-)",연%
2015-06-19,1.998,"회사채(3년, AA-)",연%
2015-06-22,2.015,"회사채(3년, AA-)",연%
2015-06-23,2.02,"회사채(3년, AA-)",연%
2015-06-24,2.028,"회사채(3년, AA-)",연%
2015-06-25,2.031,"회사채(3년, AA-)",연%
2015-06-26,2.03,"회사채(3년, AA-)",연%
2015-06-29,2.009,"회사채(3년, AA-)",연%
2015-06-30,2.007,"회사채(3년, AA-)",연%
2015-07-01,2.019,"회사채(3년, AA-)",연%
2015-07-02,2.042,"회사채(3년, AA-)",연%
2015-07-03,2.037,"회사채(3년, AA-)",연%
2015-07-06,2.033,"회사채(3년, AA-)",연%
2015-07-07,2.031,"회사채(3년, AA-)",연%
2015-07-08,2.015,"회사채(3년, AA-)",연%
2015-07-09,2.017,"회사채(3년, AA-)",연%
2015-07-10,2.023,"회사채(3년, AA-)",연%
2015-07-13,2.021,"회사채(3년, AA-)",연%
2015-07-14,2.017,"회사채(3년, AA-)",연%
2015-07-15,2.015,"회사채(3년, AA-)",연%
