날짜,종목명,종목코드,시가,고가,저가,종가,거래량,등락률
2015-01-02,ISC,095340,24009,24143,23106,23605,37058,-1.5021906947631964
2015-01-05,ISC,095340,23468,23738,22612,23560,63371,-0.19063757678457952
2015-01-06,ISC,095340,23062,23692,22972,23289,28253,-1.1502546689303905
2015-01-07,ISC,095340,23468,23513,22883,23289,34009,0.0
2015-01-08,ISC,095340,23287,23513,22972,23155,73186,-0.5753789342608099
2015-01-09,ISC,095340,24054,25224,23738,24281,180287,4.862880587346146
2015-01-12,ISC,095340,24549,24730,23738,23965,87412,-1.3014291009431243
2015-01-13,ISC,095340,24053,25945,23692,25228,150474,5.270185687460881
2015-01-14,ISC,095340,25674,26035,25001,25316,69979,0.3488187727921357
2015-01-15,ISC,095340,25315,25810,25269,25316,36268,0.0
2015-01-16,ISC,095340,25630,25630,24234,24326,63988,-3.910570390267025
2015-01-19,ISC,095340,24504,25269,24504,24868,65999,2.228068733042835
2015-01-20,ISC,095340,25090,26847,24369,26668,118967,7.238217789930834
2015-01-21,ISC,095340,26666,27567,26576,26714,140296,0.17249137543122844
2015-01-22,ISC,095340,26937,27567,26576,26984,124764,1.0107059968555814
2015-01-23,ISC,095340,27478,27883,26755,27750,110565,2.838719241031723
2015-01-26,ISC,095340,28152,30360,27657,29056,193623,4.706306306306306
2015-01-27,ISC,095340,29054,30405,28828,29371,168142,1.084113436123348
2015-01-28,ISC,095340,29369,29369,28557,28831,113371,-1.8385482278437912
2015-01-29,ISC,095340,28557,30360,28378,29730,98441,3.11817141271548
2015-01-30,ISC,095340,29730,30495,28198,30497,123142,2.5798856374032964
2015-02-02,ISC,095340,30630,30630,29234,29236,103852,-4.1348329343869885
2015-02-03,ISC,095340,29010,29730,28648,29101,79203,-0.4617594746203311
2015-02-04,ISC,095340,29549,31755,29278,31399,236853,7.896635854437991
2015-02-05,ISC,095340,31441,32792,31306,31534,109291,0.42994999840759257
2015-02-06,ISC,095340,31981,32388,31035,32390,61610,2.7145303481955985
2015-02-09,ISC,095340,32973,33650,31261,31893,98915,-1.5344242050015438
2015-02-10,ISC,095340,31893,33333,31035,31218,88555,-2.1164518859937917
2015-02-11,ISC,095340,31532,33063,30720,31984,72108,2.453712601704145
2015-02-12,ISC,095340,32252,32973,31576,32300,83607,0.9879939969984992
