날짜,종목명,종목코드,시가,고가,저가,종가,거래량,등락률
2015-01-02,삼성전자,005930,26799,26799,26540,26600,175499,0.22607385079125847
2015-01-05,삼성전자,005930,26720,26720,26260,26660,202790,0.2255639097744361
2015-01-06,삼성전자,005930,26300,26340,25760,25900,304710,-2.8507126781695424
2015-01-07,삼성전자,005930,25880,26220,25640,26140,286455,0.9266409266409266
2015-01-08,삼성전자,005930,26780,26780,26199,26280,289552,0.5355776587605203
2015-01-09,삼성전자,005930,26280,26440,26280,26280,186248,0.0
2015-01-12,삼성전자,005930,26260,26379,26020,26320,166508,0.15220700152207
2015-01-13,삼성전자,005930,26280,26800,26000,26780,245868,1.7477203647416413
2015-01-14,삼성전자,005930,26780,27100,26700,26900,286645,0.4480955937266617
2015-01-15,삼성전자,005930,26900,26979,26580,26680,282078,-0.8178438661710037
2015-01-16,삼성전자,005930,26680,26680,26260,26320,271370,-1.3493253373313343
2015-01-19,삼성전자,005930,26580,26980,26400,26860,133459,2.0516717325227964
2015-01-20,삼성전자,005930,27000,27440,26900,27440,265561,2.1593447505584513
2015-01-21,삼성전자,005930,27340,27900,27200,27900,332253,1.6763848396501457
2015-01-22,삼성전자,005930,27960,27979,27560,27560,359154,-1.2186379928315414
2015-01-23,삼성전자,005930,27999,27999,27540,27720,257175,0.5805515239477503
2015-01-26,삼성전자,005930,27500,27900,27280,27780,203070,0.21645021645021645
2015-01-27,삼성전자,005930,27500,27999,27480,28000,199144,0.7919366450683946
2015-01-28,삼성전자,005930,27720,27800,27479,27560,216630,-1.5714285714285716
2015-01-29,삼성전자,005930,27360,27900,27140,27200,274045,-1.3062409288824384
2015-01-30,삼성전자,005930,27200,27540,27200,27300,322200,0.3676470588235294
2015-02-02,삼성전자,005930,27299,27540,27120,27360,210420,0.21978021978021978
2015-02-03,삼성전자,005930,27600,27600,27180,27320,113088,-0.14619883040935672
2015-02-04,삼성전자,005930,27500,27620,27180,27180,186578,-0.5124450951683748
2015-02-05,삼성전자,005930,27180,27379,26920,27160,135408,-0.07358351729212656
2015-02-06,삼성전자,005930,26919,27480,26720,27440,160101,1.0309278350515463
2015-02-09,삼성전자,005930,27200,27980,27140,27900,173870,1.6763848396501457
2015-02-10,삼성전자,005930,28000,28000,27540,27560,130387,-1.2186379928315414
2015-02-11,삼성전자,005930,27480,27480,27080,27100,199476,-1.6690856313497822
