날짜,종목명,종목코드,시가,고가,저가,종가,거래량,등락률
2015-01-02,리노공업,058470,7748,8009,7608,8009,152577,4.4470526864893065
2015-01-05,리노공업,058470,7939,7969,7778,7809,106666,-2.4971906605069294
2015-01-06,리노공업,058470,7678,7959,7668,7859,204232,0.6402868485081317
2015-01-07,리노공업,058470,7808,8009,7798,7979,146619,1.5269118208423464
2015-01-08,리노공업,058470,7939,8049,7808,7929,143298,-0.6266449429753101
2015-01-09,리노공업,058470,8008,8449,7878,8309,411217,4.7925337369151215
2015-01-12,리노공업,058470,8388,8589,8318,8529,199213,2.647731375616801
2015-01-13,리노공업,058470,8529,8559,8388,8409,210715,-1.4069644741470277
2015-01-14,리노공업,058470,8419,8489,8348,8389,167006,-0.23784040908550363
2015-01-15,리노공업,058470,8389,8389,8078,8099,241329,-3.4569078555250923
2015-01-16,리노공업,058470,8139,8469,8029,8029,365530,-0.864304235090752
2015-01-19,리노공업,058470,8098,8499,8098,8349,315953,3.985552372649147
2015-01-20,리노공업,058470,8349,8539,8168,8229,214021,-1.4372978799856269
2015-01-21,리노공업,058470,8299,8459,8258,8299,191737,0.8506501397496659
2015-01-22,리노공업,058470,8328,8519,8318,8499,239506,2.4099289070972407
2015-01-23,리노공업,058470,8629,8629,8348,8369,143488,-1.5295917166725497
2015-01-26,리노공업,058470,8428,8519,8308,8449,140122,0.9559087107181264
2015-01-27,리노공업,058470,8459,8660,8439,8630,123117,2.142265356846964
2015-01-28,리노공업,058470,8569,8679,8419,8419,181219,-2.444959443800695
2015-01-29,리노공업,058470,8468,8659,8418,8499,131127,0.9502316189571208
2015-01-30,리노공업,058470,8609,8609,8019,8019,296755,-5.647723261560183
2015-02-02,리노공업,058470,7888,7888,7347,7578,630752,-5.499438832772166
2015-02-03,리노공업,058470,7497,7788,7497,7658,180600,1.0556875164951174
2015-02-04,리노공업,058470,7698,7889,7688,7789,282616,1.7106294071559156
2015-02-05,리노공업,058470,7798,7838,7567,7598,180505,-2.452176145846707
2015-02-06,리노공업,058470,7658,7708,7447,7548,190553,-0.6580679126085812
2015-02-09,리노공업,058470,7608,7608,7247,7378,243097,-2.2522522522522523
2015-02-10,리노공업,058470,7288,7368,7107,7148,228160,-3.117375982651125
2015-02-11,리노공업,058470,7207,7708,7207,7648,296820,6.9949636261891435
2015-02-12,리노공업,058470,7668,7708,7367,7458,152328,-2.484309623430962
2015-02-13,리노공업,058470,7498,7538,7317,7488,131517,0.4022526146419952
2015-02-16,리노공업,058470,7508,7688,7207,7358,224384,-1.7361111111111112
2015-02-17,리노공업,058470,7468,7568,7307,7318,175681,-0.5436259853220984
2015-02-23,리노공업,058470,7347,7548,7347,7498,97411,2.4596884394643346
2015-02-24,리노공업,058470,7607,7808,7527,7758,250569,3.4675913576953854
2015-02-25,리노공업,058470,7778,7838,7617,7638,239112,-1.5467904098994587
2015-02-26,리노공업,058470,7688,7688,7447,7608,175361,-0.3927729772191673
