날짜,종목명,종목코드,시가,고가,저가,종가,거래량,등락률
2016-05-02,원익IPS,240810,18550,18600,16000,16650,5172035,
2016-05-03,원익IPS,240810,16850,17400,16200,17200,2039838,3.303303303303303
2016-05-04,원익IPS,240810,17100,18350,16800,17950,2585367,4.3604651162790695
2016-05-09,원익IPS,240810,17950,18150,17350,17900,1002894,-0.2785515320334262
2016-05-10,원익IPS,240810,18000,18150,17600,17850,753750,-0.27932960893854747
2016-05-11,원익IPS,240810,17950,18350,17700,18150,763921,1.680672268907563
2016-05-12,원익IPS,240810,18100,19300,17850,19050,1280895,4.958677685950414
2016-05-13,원익IPS,240810,18950,19700,18800,19550,1176400,2.6246719160104988
2016-05-16,원익IPS,240810,19600,20500,19550,20300,1105077,3.8363171355498724
2016-05-17,원익IPS,240810,20400,20450,19300,19850,1129696,-2.2167487684729066
2016-05-18,원익IPS,240810,19900,20300,19200,19850,798105,0.0
2016-05-19,원익IPS,240810,19950,20050,19050,19200,807577,-3.27455919395466
2016-05-20,원익IPS,240810,19250,20500,18900,20350,838831,5.989583333333334
2016-05-23,원익IPS,240810,20350,20950,20050,20750,642829,1.9656019656019657
2016-05-24,원익IPS,240810,20900,22000,20750,22000,1356120,6.024096385542169
2016-05-25,원익IPS,240810,22200,23900,21750,23400,1697747,6.363636363636363
2016-05-26,원익IPS,240810,23550,24250,22200,23550,976991,0.641025641025641
2016-05-27,원익IPS,240810,23400,23500,22800,22800,539781,-3.1847133757961785
2016-05-30,원익IPS,240810,22500,23800,22500,23150,463562,1.5350877192982455
2016-05-31,원익IPS,240810,23150,23200,22200,22200,805575,-4.103671706263499
2016-06-01,원익IPS,240810,22200,23100,22200,22750,441879,2.4774774774774775
2016-06-02,원익IPS,240810,22950,24150,22950,24100,714242,5.934065934065933
2016-06-03,원익IPS,240810,24250,24800,23750,24650,610313,2.2821576763485476
2016-06-07,원익IPS,240810,24650,25000,23600,23850,476965,-3.2454361054766734
2016-06-08,원익IPS,240810,23550,24550,22300,24450,1280180,2.515723270440252
2016-06-09,원익IPS,240810,24350,24450,23500,23800,510681,-2.658486707566462
2016-06-10,원익IPS,240810,23900,24000,23000,23300,356100,-2.100840336134454
2016-06-13,원익IPS,240810,23100,23800,22550,23200,237648,-0.4291845493562232
2016-06-14,원익IPS,240810,23200,23600,22750,23550,301217,1.5086206896551724
2016-06-15,원익IPS,240810,23750,24650,23600,24000,726199,1.910828025477707
2016-06-16,원익IPS,240810,24250,24350,23050,23450,238544,-2.2916666666666665
2016-06-17,원익IPS,240810,23800,23900,22500,22550,461013,-3.8379530916844353
2016-06-20,원익IPS,240810,22950,23100,22450,22600,276870,0.22172949002217296
2016-06-21,원익IPS,240810,22850,23000,22500,22900,189942,1.3274336283185841
2016-06-22,원익IPS,240810,22450,23000,22100,22600,350083,-1.3100436681222707
2016-06-23,원익IPS,240810,22850,23150,22250,22550,280974,-0.22123893805309736
2016-06-24,원익IPS,240810,22750,22950,21050,22300,497001,-1.1086474501108647
2016-06-27,원익IPS,240810,21700,22100,21650,22000,296732,-1.345291479820628
2016-06-28,원익IPS,240810,21700,22350,21450,22300,294151,1.3636363636363635
2016-06-29,원익IPS,240810,22600,23200,22350,22850,339833,2.4663677130044843
2016-06-30,원익IPS,240810,23000,23150,22750,22850,284481,0.0
2016-07-01,원익IPS,240810,22850,23650,22700,22900,333336,0.2188183807439825
2016-07-04,원익IPS,240810,23100,23300,22750,23300,288078,1.7467248908296942
2016-07-05,원익IPS,240810,23300,23450,22550,22650,184234,-2.7896995708154506
2016-07-06,원익IPS,240810,22800,23300,22150,22450,296861,-0.8830022075055187
2016-07-07,원익IPS,240810,22700,22950,22300,22400,184446,-0.22271714922048996
2016-07-08,원익IPS,240810,22450,22550,21950,22350,219315,-0.2232142857142857
2016-07-11,원익IPS,240810,22450,23900,22450,23900,594821,6.935123042505594
2016-07-12,원익IPS,240810,23950,23950,23200,23650,421925,-1.0460251046025104
2016-07-13,원익IPS,240810,23700,24000,23350,23600,226383,-0.21141649048625794
2016-07-14,원익IPS,240810,23600,23750,23150,23300,254118,-1.2711864406779663
2016-07-15,원익IPS,240810,23400,23500,22600,22600,312231,-3.004291845493562
2016-07-18,원익IPS,240810,22650,23000,22250,22500,242251,-0.4424778761061947
2016-07-19,원익IPS,240810,22300,22600,22050,22150,254937,-1.5555555555555556
2016-07-20,원익IPS,240810,22050,22500,21700,22350,278074,0.9029345372460496
2016-07-21,원익IPS,240810,22550,24950,22550,24150,1602219,8.053691275167784
2016-07-22,원익IPS,240810,24150,24450,23550,23750,412753,-1.6563146997929608
2016-07-25,원익IPS,240810,24200,25250,24000,25100,889618,5.684210526315789
2016-07-26,원익IPS,240810,25150,25200,24300,24450,459319,-2.589641434262948
2016-07-27,원익IPS,240810,24600,25400,24200,24550,406032,0.408997955010225
2016-07-28,원익IPS,240810,24650,24650,23700,24200,362027,-1.4256619144602851
2016-07-29,원익IPS,240810,24000,24850,23750,24850,339079,2.6859504132231407
2016-08-01,원익IPS,240810,25300,25400,24700,25000,289146,0.6036217303822937
2016-08-02,원익IPS,240810,25000,26200,24850,26000,981461,4.0
2016-08-03,원익IPS,240810,25750,26350,25600,25850,359170,-0.576923076923077
2016-08-04,원익IPS,240810,26100,26450,25050,25350,436433,-1.9342359767891684
2016-08-05,원익IPS,240810,25400,25900,25150,25500,228034,0.591715976331361
2016-08-08,원익IPS,240810,25700,25900,24400,24450,351643,-4.117647058823529
2016-08-09,원익IPS,240810,24500,24550,23550,23800,600728,-2.658486707566462
2016-08-10,원익IPS,240810,23800,24150,23150,23850,481994,0.21008403361344538
2016-08-11,원익IPS,240810,23700,23950,23450,23600,234004,-1.0482180293501049
2016-08-12,원익IPS,240810,23600,23900,23300,23500,185267,-0.423728813559322
2016-08-16,원익IPS,240810,23350,23500,22500,22850,382397,-2.7659574468085104
2016-08-17,원익IPS,240810,22750,24250,22650,24050,690453,5.25164113785558
2016-08-18,원익IPS,240810,24250,24550,23750,24500,375226,1.8711018711018712
2016-08-19,원익IPS,240810,24500,24900,24300,24300,210521,-0.8163265306122449
2016-08-22,원익IPS,240810,24350,25550,24250,25300,440267,4.11522633744856
2016-08-23,원익IPS,240810,25450,25500,24900,25250,192448,-0.1976284584980237
2016-08-24,원익IPS,240810,25400,25900,25300,25600,424411,1.3861386138613863
2016-08-25,원익IPS,240810,25600,25600,24750,25000,379993,-2.34375
2016-08-26,원익IPS,240810,24850,24850,24250,24550,262369,-1.7999999999999998
2016-08-29,원익IPS,240810,24450,24450,23100,23700,607102,-3.462321792260693
2016-08-30,원익IPS,240810,23800,24550,23800,24000,274949,1.2658227848101267
2016-08-31,원익IPS,240810,23650,23700,22850,23300,465312,-2.9166666666666665
2016-09-01,원익IPS,240810,22900,23650,22850,23500,285175,0.8583690987124464
2016-09-02,원익IPS,240810,23500,23550,22750,23000,381725,-2.127659574468085
2016-09-05,원익IPS,240810,23100,23750,22850,23650,311688,2.8260869565217392
2016-09-06,원익IPS,240810,23800,24000,23500,23900,313367,1.0570824524312896
2016-09-07,원익IPS,240810,23700,23900,22700,23000,713506,-3.765690376569038
2016-09-08,원익IPS,240810,22800,23200,22450,22550,534611,-1.956521739130435
2016-09-09,원익IPS,240810,22500,22800,22100,22600,262023,0.22172949002217296
2016-09-12,원익IPS,240810,23050,24100,22900,23050,1166089,1.991150442477876
2016-09-13,원익IPS,240810,23600,23950,22450,23150,395360,0.43383947939262474
2016-09-19,원익IPS,240810,22950,23650,22700,23350,279326,0.8639308855291578
2016-09-20,원익IPS,240810,23350,23800,23150,23700,223867,1.4989293361884368
2016-09-21,원익IPS,240810,23850,24000,23500,23900,187960,0.8438818565400843
2016-09-22,원익IPS,240810,24500,25000,24000,24700,551139,3.3472803347280333
2016-09-23,원익IPS,240810,24950,25150,24550,25000,314963,1.214574898785425
2016-09-26,원익IPS,240810,25200,25200,24550,24650,181003,-1.4000000000000001
2016-09-27,원익IPS,240810,24300,24950,24050,24900,213380,1.0141987829614605
2016-09-28,원익IPS,240810,25000,25450,24400,24550,412808,-1.4056224899598393
2016-09-29,원익IPS,240810,24800,24900,24450,24800,194647,1.0183299389002036
2016-09-30,원익IPS,240810,24550,25500,24500,25500,458141,2.82258064516129
2016-10-04,원익IPS,240810,25750,25750,25150,25450,247749,-0.19607843137254902
2016-10-05,원익IPS,240810,25350,25500,24600,24900,252152,-2.161100196463654
2016-10-06,원익IPS,240810,24900,25000,24250,24800,220853,-0.4016064257028112
2016-10-07,원익IPS,240810,24650,24700,24350,24650,149276,-0.6048387096774194
2016-10-10,원익IPS,240810,24500,24600,23650,23650,343228,-4.056795131845842
2016-10-11,원익IPS,240810,23400,24100,23100,23400,196047,-1.0570824524312896
2016-10-12,원익IPS,240810,23100,23700,23100,23300,165295,-0.4273504273504274
2016-10-13,원익IPS,240810,23450,23550,22800,22850,159884,-1.9313304721030045
2016-10-14,원익IPS,240810,23050,23650,22800,23600,200255,3.282275711159737
2016-10-17,원익IPS,240810,23600,23750,22650,22900,281646,-2.9661016949152543
2016-10-18,원익IPS,240810,22800,23150,22650,22950,179059,0.21834061135371177
2016-10-19,원익IPS,240810,22950,23000,22300,22350,314068,-2.6143790849673203
2016-10-20,원익IPS,240810,22400,22850,22400,22600,127200,1.1185682326621924
2016-10-21,원익IPS,240810,22500,22850,22150,22500,185004,-0.4424778761061947
2016-10-24,원익IPS,240810,22400,22650,21850,22000,218978,-2.2222222222222223
2016-10-25,원익IPS,240810,22000,22050,20950,21000,454299,-4.545454545454546
2016-10-26,원익IPS,240810,21000,21450,20100,21000,526610,0.0
2016-10-27,원익IPS,240810,21200,23300,21200,22750,601598,8.333333333333332
2016-10-28,원익IPS,240810,22800,23800,22650,23200,672649,1.9780219780219779
2016-10-31,원익IPS,240810,23450,23600,23000,23300,317179,0.43103448275862066
2016-11-01,원익IPS,240810,23200,23700,22900,23700,290851,1.7167381974248928
2016-11-02,원익IPS,240810,23500,23600,23250,23400,258843,-1.2658227848101267
2016-11-03,원익IPS,240810,23400,23900,23100,23600,212502,0.8547008547008548
2016-11-04,원익IPS,240810,23350,23900,23350,23550,172043,-0.211864406779661
2016-11-07,원익IPS,240810,23850,23850,22100,23800,799083,1.0615711252653928
2016-11-08,원익IPS,240810,24050,24100,23250,23400,356423,-1.680672268907563
2016-11-09,원익IPS,240810,23500,23650,22200,23150,591786,-1.0683760683760684
2016-11-10,원익IPS,240810,23300,23700,22900,23400,270258,1.079913606911447
2016-11-11,원익IPS,240810,22900,23100,22350,22350,327106,-4.487179487179487
2016-11-14,원익IPS,240810,22350,22900,22100,22600,227356,1.1185682326621924
2016-11-15,원익IPS,240810,22250,22800,22200,22700,142113,0.4424778761061947
2016-11-16,원익IPS,240810,22900,23350,22550,22950,376556,1.1013215859030838
2016-11-17,원익IPS,240810,23200,23250,22950,23050,128952,0.4357298474945534
2016-11-18,원익IPS,240810,23250,23350,22850,23050,173518,0.0
2016-11-21,원익IPS,240810,23150,23200,22200,23050,132257,0.0
2016-11-22,원익IPS,240810,23200,23250,22600,22600,117913,-1.9522776572668112
2016-11-23,원익IPS,240810,22700,22700,21900,21900,247053,-3.0973451327433628
