날짜,종목명,종목코드,시가,고가,저가,종가,거래량,등락률
2015-01-02,이오테크닉스,039030,125300,129600,123100,125500,116866,0.1596169193934557
2015-01-05,이오테크닉스,039030,125700,126400,123400,124600,68490,-0.7171314741035857
2015-01-06,이오테크닉스,039030,123900,125400,120100,124900,158616,0.2407704654895666
2015-01-07,이오테크닉스,039030,125500,130100,123400,129500,100747,3.682946357085669
2015-01-08,이오테크닉스,039030,129800,136800,128400,136800,157623,5.637065637065637
2015-01-09,이오테크닉스,039030,139000,139800,135700,136500,113064,-0.21929824561403508
2015-01-12,이오테크닉스,039030,135500,137000,134100,135200,70160,-0.9523809523809524
2015-01-13,이오테크닉스,039030,135200,137300,131500,133500,98908,-1.257396449704142
2015-01-14,이오테크닉스,039030,133400,133400,129400,131500,96311,-1.4981273408239701
2015-01-15,이오테크닉스,039030,131000,133300,128000,129400,97625,-1.596958174904943
2015-01-16,이오테크닉스,039030,129500,131000,125700,130800,110301,1.0819165378670788
2015-01-19,이오테크닉스,039030,130900,131700,127100,127100,102479,-2.8287461773700304
2015-01-20,이오테크닉스,039030,126800,128400,123100,126300,121616,-0.6294256490952006
2015-01-21,이오테크닉스,039030,127600,134400,126400,133800,132405,5.938242280285035
2015-01-22,이오테크닉스,039030,133300,133800,127700,130400,108795,-2.5411061285500747
2015-01-23,이오테크닉스,039030,130300,133900,129100,133400,57474,2.3006134969325154
2015-01-26,이오테크닉스,039030,133500,137000,131700,131800,68259,-1.199400299850075
2015-01-27,이오테크닉스,039030,132400,133000,126000,127100,256213,-3.566009104704097
2015-01-28,이오테크닉스,039030,125100,125100,120200,123900,301173,-2.5177025963808024
2015-01-29,이오테크닉스,039030,122000,127300,119800,125200,296591,1.0492332526230832
2015-01-30,이오테크닉스,039030,125600,128200,123000,128000,100439,2.2364217252396164
2015-02-02,이오테크닉스,039030,127600,127700,123200,123200,98147,-3.75
2015-02-03,이오테크닉스,039030,123300,125100,120100,123900,82700,0.5681818181818182
2015-02-04,이오테크닉스,039030,123200,124000,120000,120100,68678,-3.066989507667474
2015-02-05,이오테크닉스,039030,120400,124800,117500,124100,128647,3.330557868442964
2015-02-06,이오테크닉스,039030,124600,125000,121200,124300,68838,0.16116035455278002
2015-02-09,이오테크닉스,039030,123500,125000,120900,121000,57449,-2.6548672566371683
2015-02-10,이오테크닉스,039030,120000,125700,117800,125700,156858,3.884297520661157
2015-02-11,이오테크닉스,039030,126700,140600,126700,140000,292768,11.37629276054097
2015-02-12,이오테크닉스,039030,140200,148800,140200,144900,199535,3.5000000000000004
2015-02-13,이오테크닉스,039030,145000,146900,141000,144600,120872,-0.2070393374741201
2015-02-16,이오테크닉스,039030,143100,145200,141200,142500,48220,-1.4522821576763485
2015-02-17,이오테크닉스,039030,142400,149700,142000,147600,124392,3.578947368421052
2015-02-23,이오테크닉스,039030,149500,153200,146100,151000,120188,2.303523035230352
2015-02-24,이오테크닉스,039030,152000,153900,146700,146700,75131,-2.847682119205298
2015-02-25,이오테크닉스,039030,147200,148600,142300,142500,64609,-2.8629856850715747
2015-02-26,이오테크닉스,039030,143500,147000,140800,141300,48730,-0.8421052631578947
2015-02-27,이오테크닉스,039030,141800,145000,140000,143500,83598,1.556970983722576
2015-03-02,이오테크닉스,039030,142700,144000,139200,139200,48814,-2.996515679442509
2015-03-03,이오테크닉스,039030,139800,140800,135400,137100,73676,-1.5086206896551724
2015-03-04,이오테크닉스,039030,138500,145500,137700,144500,146912,5.397520058351568
