날짜,종목명,종목코드,시가,고가,저가,종가,거래량,등락률
2015-01-02,주성엔지니어링,036930,3340,3470,3300,3385,145562,1.0447761194029852
2015-01-05,주성엔지니어링,036930,3420,3435,3305,3360,85907,-0.7385524372230428
2015-01-06,주성엔지니어링,036930,3325,3375,3230,3295,150060,-1.9345238095238095
2015-01-07,주성엔지니어링,036930,3270,3310,3260,3260,68924,-1.062215477996965
2015-01-08,주성엔지니어링,036930,3260,3290,3205,3215,147426,-1.3803680981595092
2015-01-09,주성엔지니어링,036930,3280,3630,3215,3575,700043,11.19751166407465
2015-01-12,주성엔지니어링,036930,3590,3730,3570,3595,421905,0.5594405594405595
2015-01-13,주성엔지니어링,036930,3595,3730,3565,3615,392493,0.5563282336578581
2015-01-14,주성엔지니어링,036930,3595,3650,3580,3615,118915,0.0
2015-01-15,주성엔지니어링,036930,3615,3635,3455,3485,234643,-3.5961272475795294
2015-01-16,주성엔지니어링,036930,3485,3485,3365,3370,204862,-3.2998565279770444
2015-01-19,주성엔지니어링,036930,3360,3420,3340,3410,134385,1.1869436201780417
2015-01-20,주성엔지니어링,036930,3470,3470,3340,3360,130300,-1.466275659824047
2015-01-21,주성엔지니어링,036930,3405,3500,3345,3450,193421,2.6785714285714284
2015-01-22,주성엔지니어링,036930,3480,3490,3350,3380,146586,-2.0289855072463765
2015-01-23,주성엔지니어링,036930,3390,3440,3360,3365,145037,-0.4437869822485207
2015-01-26,주성엔지니어링,036930,3365,3510,3365,3510,227492,4.3090638930163445
2015-01-27,주성엔지니어링,036930,3560,3565,3450,3510,272643,0.0
2015-01-28,주성엔지니어링,036930,3480,3705,3480,3690,613991,5.128205128205128
2015-01-29,주성엔지니어링,036930,3650,4035,3620,3960,1331776,7.317073170731707
2015-01-30,주성엔지니어링,036930,4030,4045,3870,4000,830768,1.0101010101010102
2015-02-02,주성엔지니어링,036930,3900,4295,3900,4200,1082532,5.0
2015-02-03,주성엔지니어링,036930,4150,4340,4095,4205,725950,0.11904761904761905
2015-02-04,주성엔지니어링,036930,4150,4335,4150,4300,581674,2.2592152199762188
2015-02-05,주성엔지니어링,036930,4365,4370,3915,4290,1038260,-0.23255813953488372
2015-02-06,주성엔지니어링,036930,4230,4485,4190,4395,684162,2.4475524475524475
2015-02-09,주성엔지니어링,036930,4395,4450,4270,4300,565642,-2.1615472127417523
2015-02-10,주성엔지니어링,036930,4300,4430,4225,4300,323894,0.0
2015-02-11,주성엔지니어링,036930,4360,4360,4265,4300,188487,0.0
2015-02-12,주성엔지니어링,036930,4300,4900,4300,4820,1702461,12.093023255813954
2015-02-13,주성엔지니어링,036930,4855,5160,4760,5120,1632489,6.224066390041494
2015-02-16,주성엔지니어링,036930,5120,5140,4990,5080,589045,-0.78125
2015-02-17,주성엔지니어링,036930,5090,5110,4940,5000,409231,-1.574803149606299
2015-02-23,주성엔지니어링,036930,4900,5040,4790,5040,344299,0.8
2015-02-24,주성엔지니어링,036930,5040,5230,4510,4700,1167897,-6.746031746031746
2015-02-25,주성엔지니어링,036930,4765,5040,4730,4900,807296,4.25531914893617
2015-02-26,주성엔지니어링,036930,4850,5090,4845,4950,504847,1.0204081632653061
2015-02-27,주성엔지니어링,036930,5040,5400,4945,5320,1526634,7.474747474747474
2015-03-02,주성엔지니어링,036930,5350,5390,5100,5200,687985,-2.2556390977443606
2015-03-03,주성엔지니어링,036930,5210,5300,5150,5250,316644,0.9615384615384616
2015-03-04,주성엔지니어링,036930,5270,5290,5060,5140,360112,-2.0952380952380953
2015-03-05,주성엔지니어링,036930,5140,5150,4980,5000,542590,-2.7237354085603114
2015-03-06,주성엔지니어링,036930,5020,5210,4970,5200,461901,4.0
2015-03-09,주성엔지니어링,036930,5170,5170,4995,5050,349866,-2.8846153846153846
2015-03-10,주성엔지니어링,036930,5210,5400,5030,5120,717920,1.3861386138613863
2015-03-11,주성엔지니어링,036930,4995,5230,4995,5150,228835,0.5859375
2015-03-12,주성엔지니어링,036930,5300,5300,5110,5150,374221,0.0
2015-03-13,주성엔지니어링,036930,5160,5310,5120,5200,335489,0.9708737864077669
2015-03-16,주성엔지니어링,036930,5190,5200,5090,5110,261030,-1.7307692307692308
2015-03-17,주성엔지니어링,036930,5130,5200,5060,5180,265279,1.36986301369863
2015-03-18,주성엔지니어링,036930,5180,5300,5120,5180,407989,0.0
2015-03-19,주성엔지니어링,036930,5200,5220,4795,4860,843596,-6.177606177606178
2015-03-20,주성엔지니어링,036930,4895,4975,4720,4760,641068,-2.05761316872428
2015-03-23,주성엔지니어링,036930,4770,4920,4770,4900,267370,2.941176470588235
2015-03-24,주성엔지니어링,036930,4905,4910,4800,4855,193551,-0.9183673469387756
2015-03-25,주성엔지니어링,036930,4820,5170,4815,5120,760733,5.458290422245108
2015-03-26,주성엔지니어링,036930,5120,5240,4995,5040,445400,-1.5625
2015-03-27,주성엔지니어링,036930,5170,5300,5130,5200,561695,3.1746031746031744
2015-03-30,주성엔지니어링,036930,5350,5980,5280,5970,2702085,14.807692307692308
2015-03-31,주성엔지니어링,036930,6000,6070,5780,6000,1846293,0.5025125628140703
2015-04-01,주성엔지니어링,036930,6000,6370,5930,6070,1599116,1.1666666666666667
2015-04-02,주성엔지니어링,036930,6100,6300,6010,6080,688297,0.16474464579901155
2015-04-03,주성엔지니어링,036930,6170,6170,5890,6000,592239,-1.3157894736842104
2015-04-06,주성엔지니어링,036930,5950,6070,5850,5940,483034,-1.0
2015-04-07,주성엔지니어링,036930,5930,6100,5900,6100,498231,2.6936026936026933
2015-04-08,주성엔지니어링,036930,6130,6210,6000,6130,636753,0.49180327868852464
2015-04-09,주성엔지니어링,036930,6270,6480,6070,6070,957427,-0.9787928221859705
2015-04-10,주성엔지니어링,036930,6040,6170,6010,6080,405852,0.16474464579901155
2015-04-13,주성엔지니어링,036930,6150,6180,5810,5850,751027,-3.7828947368421053
2015-04-14,주성엔지니어링,036930,5800,5950,5670,5730,574519,-2.051282051282051
2015-04-15,주성엔지니어링,036930,5790,5890,5760,5850,380194,2.094240837696335
2015-04-16,주성엔지니어링,036930,5910,5960,5810,5850,333110,0.0
2015-04-17,주성엔지니어링,036930,5860,5930,5740,5900,394271,0.8547008547008548
2015-04-20,주성엔지니어링,036930,5820,6020,5750,6020,537073,2.0338983050847457
2015-04-21,주성엔지니어링,036930,6090,6100,5830,5900,411874,-1.9933554817275747
2015-04-22,주성엔지니어링,036930,5950,5950,5300,5680,1211176,-3.728813559322034
2015-04-23,주성엔지니어링,036930,5700,5820,5410,5780,474881,1.7605633802816902
2015-04-24,주성엔지니어링,036930,5890,5920,5620,5820,474769,0.6920415224913495
2015-04-27,주성엔지니어링,036930,5990,6200,5900,6200,1126879,6.529209621993128
2015-04-28,주성엔지니어링,036930,6260,6270,6010,6070,591866,-2.0967741935483875
2015-04-29,주성엔지니어링,036930,6060,6200,6020,6150,545760,1.3179571663920924
2015-04-30,주성엔지니어링,036930,6190,6230,6040,6070,512568,-1.3008130081300813
2015-05-04,주성엔지니어링,036930,6070,6120,5940,6030,371026,-0.6589785831960462
2015-05-06,주성엔지니어링,036930,6000,6070,5820,5930,349547,-1.658374792703151
2015-05-07,주성엔지니어링,036930,5930,6040,5670,5990,554421,1.0118043844856661
2015-05-08,주성엔지니어링,036930,6050,6340,6040,6140,1015972,2.5041736227045077
2015-05-11,주성엔지니어링,036930,6230,6620,6150,6560,1794900,6.840390879478828
2015-05-12,주성엔지니어링,036930,6600,6900,6460,6700,1650338,2.1341463414634148
2015-05-13,주성엔지니어링,036930,6740,6980,6610,6840,1065305,2.0895522388059704
2015-05-14,주성엔지니어링,036930,6940,6950,6620,6800,1072880,-0.5847953216374269
2015-05-15,주성엔지니어링,036930,6800,6930,6700,6780,780436,-0.29411764705882354
2015-05-18,주성엔지니어링,036930,6730,6780,6520,6660,624245,-1.7699115044247788
2015-05-19,주성엔지니어링,036930,6650,6920,6550,6900,775785,3.6036036036036037
