날짜,종목명,종목코드,시가,고가,저가,종가,거래량,등락률
2015-01-02,한미반도체,042700,3220,3270,3180,3260,320026,0.6172839506172839
2015-01-05,한미반도체,042700,3270,3280,3150,3200,539450,-1.8404907975460123
2015-01-06,한미반도체,042700,3160,3220,3140,3190,272166,-0.3125
2015-01-07,한미반도체,042700,3170,3240,3120,3230,445510,1.2539184952978055
2015-01-08,한미반도체,042700,3220,3330,3200,3320,654036,2.786377708978328
2015-01-09,한미반도체,042700,3320,3380,3290,3320,318720,0.0
2015-01-12,한미반도체,042700,3320,3360,3280,3310,312760,-0.30120481927710846
2015-01-13,한미반도체,042700,3340,3370,3220,3240,341886,-2.1148036253776437
2015-01-14,한미반도체,042700,3250,3290,3230,3280,174040,1.2345679012345678
2015-01-15,한미반도체,042700,3280,3320,3240,3320,295270,1.2195121951219512
2015-01-16,한미반도체,042700,3330,3610,3300,3470,1774396,4.518072289156627
2015-01-19,한미반도체,042700,3520,3640,3500,3590,1208090,3.45821325648415
2015-01-20,한미반도체,042700,3590,3620,3480,3530,500006,-1.6713091922005572
2015-01-21,한미반도체,042700,3540,3560,3420,3460,556136,-1.9830028328611897
2015-01-22,한미반도체,042700,3500,3530,3350,3420,570320,-1.1560693641618496
2015-01-23,한미반도체,042700,3450,3490,3390,3470,440316,1.461988304093567
2015-01-26,한미반도체,042700,3470,3560,3450,3530,623720,1.729106628242075
2015-01-27,한미반도체,042700,3570,3590,3510,3540,557726,0.28328611898017
2015-01-28,한미반도체,042700,3520,3600,3490,3550,510966,0.2824858757062147
2015-01-29,한미반도체,042700,3550,3570,3420,3480,641710,-1.971830985915493
2015-01-30,한미반도체,042700,3480,3500,3400,3450,458896,-0.8620689655172413
2015-02-02,한미반도체,042700,3480,3540,3410,3450,442326,0.0
2015-02-03,한미반도체,042700,3460,3540,3420,3510,362316,1.7391304347826086
2015-02-04,한미반도체,042700,3580,3600,3520,3530,702040,0.5698005698005698
2015-02-05,한미반도체,042700,3530,3560,3410,3490,699096,-1.13314447592068
2015-02-06,한미반도체,042700,3440,3500,3430,3480,253786,-0.28653295128939826
2015-02-09,한미반도체,042700,3490,3590,3480,3590,641550,3.1609195402298855
2015-02-10,한미반도체,042700,3570,3690,3540,3630,1172996,1.1142061281337048
2015-02-11,한미반도체,042700,3640,3720,3580,3650,454730,0.5509641873278237
2015-02-12,한미반도체,042700,3640,3700,3600,3660,398356,0.273972602739726
2015-02-13,한미반도체,042700,3720,3780,3600,3660,844090,0.0
2015-02-16,한미반도체,042700,3650,3700,3570,3570,642966,-2.459016393442623
2015-02-17,한미반도체,042700,3550,3640,3540,3580,333350,0.2801120448179272
2015-02-23,한미반도체,042700,3580,3610,3500,3570,456236,-0.27932960893854747
2015-02-24,한미반도체,042700,3600,3650,3560,3570,510760,0.0
2015-02-25,한미반도체,042700,3580,3590,3500,3510,589180,-1.680672268907563
2015-02-26,한미반도체,042700,3510,3600,3490,3600,456270,2.564102564102564
2015-02-27,한미반도체,042700,3620,3670,3610,3640,454496,1.1111111111111112
2015-03-02,한미반도체,042700,3670,3710,3610,3650,381186,0.27472527472527475
2015-03-03,한미반도체,042700,3690,3709,3660,3670,382110,0.547945205479452
2015-03-04,한미반도체,042700,3690,3710,3640,3640,214590,-0.8174386920980926
2015-03-05,한미반도체,042700,3650,3690,3640,3680,276146,1.098901098901099
2015-03-06,한미반도체,042700,3700,3709,3610,3670,364206,-0.2717391304347826
2015-03-09,한미반도체,042700,3640,3670,3570,3580,235660,-2.452316076294278
2015-03-10,한미반도체,042700,3580,3630,3540,3580,448196,0.0
2015-03-11,한미반도체,042700,3560,3580,3500,3540,248056,-1.1173184357541899
2015-03-12,한미반도체,042700,3560,3600,3500,3580,258800,1.1299435028248588
2015-03-13,한미반도체,042700,3570,3600,3540,3560,135546,-0.5586592178770949
2015-03-16,한미반도체,042700,3540,3560,3500,3500,339220,-1.6853932584269662
2015-03-17,한미반도체,042700,3540,3540,3420,3460,594986,-1.1428571428571428
2015-03-18,한미반도체,042700,3470,3470,3350,3370,613850,-2.601156069364162
2015-03-19,한미반도체,042700,3370,3420,3300,3320,618370,-1.483679525222552
2015-03-20,한미반도체,042700,3320,3420,3250,3400,670066,2.4096385542168677
2015-03-23,한미반도체,042700,3420,3420,3320,3360,471086,-1.1764705882352942
2015-03-24,한미반도체,042700,3360,3390,3310,3350,262840,-0.2976190476190476
2015-03-25,한미반도체,042700,3350,3370,3300,3360,395686,0.2985074626865672
2015-03-26,한미반도체,042700,3320,3380,3300,3370,300466,0.2976190476190476
2015-03-27,한미반도체,042700,3350,3370,3210,3210,1006230,-4.747774480712167
2015-03-30,한미반도체,042700,3220,3240,3150,3230,382940,0.6230529595015576
2015-03-31,한미반도체,042700,3240,3270,3180,3230,456766,0.0
2015-04-01,한미반도체,042700,3200,3320,3200,3320,450440,2.786377708978328
2015-04-02,한미반도체,042700,3350,3350,3270,3330,384010,0.30120481927710846
2015-04-03,한미반도체,042700,3350,3350,3280,3330,334430,0.0
2015-04-06,한미반도체,042700,3360,3370,3290,3320,392790,-0.3003003003003003
2015-04-07,한미반도체,042700,3360,3360,3260,3330,517380,0.30120481927710846
2015-04-08,한미반도체,042700,3300,3350,3300,3300,448070,-0.9009009009009009
2015-04-09,한미반도체,042700,3320,3340,3270,3280,337960,-0.6060606060606061
2015-04-10,한미반도체,042700,3290,3340,3280,3310,302080,0.9146341463414633
2015-04-13,한미반도체,042700,3340,3480,3320,3470,703576,4.833836858006042
2015-04-14,한미반도체,042700,3490,3490,3270,3290,738716,-5.187319884726225
2015-04-15,한미반도체,042700,3290,3330,3230,3300,663846,0.303951367781155
2015-04-16,한미반도체,042700,3300,3320,3240,3270,410556,-0.9090909090909091
2015-04-17,한미반도체,042700,3260,3340,3220,3320,568756,1.529051987767584
2015-04-20,한미반도체,042700,3280,3340,3240,3240,574680,-2.4096385542168677
2015-04-21,한미반도체,042700,3240,3270,3200,3260,522946,0.6172839506172839
2015-04-22,한미반도체,042700,3240,3250,3020,3100,1648126,-4.9079754601226995
2015-04-23,한미반도체,042700,3110,3160,3050,3130,755216,0.967741935483871
2015-04-24,한미반도체,042700,3120,3200,3120,3170,617360,1.2779552715654952
2015-04-27,한미반도체,042700,3210,3220,3120,3190,490776,0.6309148264984227
2015-04-28,한미반도체,042700,3200,3220,3160,3210,343400,0.6269592476489028
2015-04-29,한미반도체,042700,3210,3220,3120,3180,393736,-0.9345794392523363
2015-04-30,한미반도체,042700,3190,3200,2960,3020,1360266,-5.031446540880504
2015-05-04,한미반도체,042700,3020,3050,2980,3020,374980,0.0
2015-05-06,한미반도체,042700,2990,3000,2820,2820,1109580,-6.622516556291391
2015-05-07,한미반도체,042700,2810,2870,2800,2870,863930,1.773049645390071
2015-05-08,한미반도체,042700,2900,3000,2890,2940,681040,2.4390243902439024
2015-05-11,한미반도체,042700,2950,2980,2880,2920,600250,-0.6802721088435374
2015-05-12,한미반도체,042700,2910,2930,2810,2820,897980,-3.4246575342465753
2015-05-13,한미반도체,042700,2830,2980,2820,2980,735480,5.673758865248227
2015-05-14,한미반도체,042700,3020,3090,3000,3050,850016,2.348993288590604
2015-05-15,한미반도체,042700,3100,3170,2970,3100,1369526,1.639344262295082
2015-05-18,한미반도체,042700,3020,3120,2960,3120,884516,0.6451612903225806
2015-05-19,한미반도체,042700,3100,3100,2900,2990,1319266,-4.166666666666666
2015-05-20,한미반도체,042700,2940,3030,2930,3000,920390,0.33444816053511706
2015-05-21,한미반도체,042700,2850,2880,2640,2720,4913310,-9.333333333333334
2015-05-22,한미반도체,042700,2720,2760,2650,2650,1506536,-2.5735294117647056
2015-05-26,한미반도체,042700,2680,2710,2640,2710,615396,2.2641509433962264
2015-05-27,한미반도체,042700,2690,2700,2620,2640,764816,-2.5830258302583027
2015-05-28,한미반도체,042700,2680,2740,2670,2680,1035550,1.5151515151515151
2015-05-29,한미반도체,042700,2700,2800,2650,2750,953476,2.6119402985074625
2015-06-01,한미반도체,042700,2790,2830,2700,2820,648630,2.5454545454545454
2015-06-02,한미반도체,042700,2820,2830,2670,2670,727626,-5.319148936170213
2015-06-03,한미반도체,042700,2660,2750,2620,2630,708076,-1.4981273408239701
2015-06-04,한미반도체,042700,2630,2680,2590,2600,500050,-1.1406844106463878
2015-06-05,한미반도체,042700,2570,2670,2570,2660,387596,2.307692307692308
2015-06-08,한미반도체,042700,2660,2680,2620,2650,320546,-0.37593984962406013
2015-06-09,한미반도체,042700,2640,2690,2630,2650,382710,0.0
2015-06-10,한미반도체,042700,2690,2770,2660,2750,683480,3.7735849056603774
2015-06-11,한미반도체,042700,2750,2780,2590,2590,1364026,-5.818181818181818
2015-06-12,한미반도체,042700,2630,2730,2610,2650,873006,2.3166023166023164
2015-06-15,한미반도체,042700,2640,2760,2610,2720,511536,2.6415094339622645
2015-06-16,한미반도체,042700,2690,2780,2590,2720,680386,0.0
2015-06-17,한미반도체,042700,2740,2740,2650,2670,681126,-1.8382352941176472
2015-06-18,한미반도체,042700,2690,2750,2670,2730,568826,2.247191011235955
2015-06-19,한미반도체,042700,2760,2770,2690,2690,540186,-1.465201465201465
2015-06-22,한미반도체,042700,2720,2860,2700,2800,1142370,4.089219330855019
2015-06-23,한미반도체,042700,2820,2830,2740,2780,590426,-0.7142857142857143
2015-06-24,한미반도체,042700,2780,2800,2660,2730,1008700,-1.7985611510791366
2015-06-25,한미반도체,042700,2700,2770,2690,2750,505256,0.7326007326007326
2015-06-26,한미반도체,042700,2790,2800,2740,2750,420450,0.0
2015-06-29,한미반도체,042700,2660,2720,2640,2710,657030,-1.4545454545454546
2015-06-30,한미반도체,042700,2680,2780,2640,2770,424866,2.214022140221402
2015-07-01,한미반도체,042700,2800,2830,2740,2770,367470,0.0
2015-07-02,한미반도체,042700,2770,2770,2700,2720,447310,-1.8050541516245486
2015-07-03,한미반도체,042700,2700,2760,2700,2740,346566,0.7352941176470588
2015-07-06,한미반도체,042700,2700,2720,2640,2680,536496,-2.18978102189781
2015-07-07,한미반도체,042700,2670,2700,2640,2660,333990,-0.7462686567164178
2015-07-08,한미반도체,042700,2680,2720,2660,2670,403576,0.37593984962406013
2015-07-09,한미반도체,042700,2680,2680,2560,2620,464446,-1.8726591760299627
2015-07-10,한미반도체,042700,2600,2700,2600,2660,322676,1.5267175572519083
2015-07-13,한미반도체,042700,2650,2700,2620,2690,404610,1.1278195488721803
2015-07-14,한미반도체,042700,2700,2710,2640,2700,423980,0.37174721189591076
